Match ID,Home Team,Away Team,Result,League
3840934,BSC Young Boys,FC Lugano,"3:0
(2:0)",Credit Suisse Super League
3840935,FC Basel 1893,FC St. Gallen 1879,"3:2
(2:1)",Credit Suisse Super League
3840936,Grasshopper Club Zurich,FC Zürich,"1:1
(0:1)",Credit Suisse Super League
3840937,FC Sion,FC Winterthur,"1:3
(1:1)",Credit Suisse Super League
3840938,FC Lugano,Servette FC,"1:0
(1:0)",Credit Suisse Super League
3840939,FC Luzern,BSC Young Boys,"1:2
(1:1)",Credit Suisse Super League
3840940,CF Barcelona,Real Zaragoza CD,"2:2
(0:0)",Copa del Generalísimo
3840941,Real Zaragoza CD,CF Barcelona,"1:0
(0:0)",Copa del Generalísimo
3840942,CF Barcelona,Elche CF,"1:0
(0:0)",Copa del Generalísimo
3840943,Elche CF,CF Barcelona,"0:2
(0:0)",Copa del Generalísimo
3840944,Real Mallorca,CF Barcelona,"2:0
(1:0)",Copa del Generalísimo
3840945,CF Barcelona,Real Mallorca,"5:1
(3:0)",Copa del Generalísimo
3840946,Real Zaragoza CD,Athletic Bilbao,"2:0
(2:0)",Copa del Generalísimo
3840947,Sporting Étoile Club Bastia ,Red Star FC,"3:0
(1:0)",Division 1
3840948,Olympique Lyon,FC Girondins Bordeaux,"0:1
(0:0)",Division 1
3840949,Olympique Marseille,FC Metz,"5:0
(1:0)",Division 1
3840950,AS Nancy-Lorraine,AC Ajaccio,"2:1
(1:1)",Division 1
3840951,FC Nantes,Angers SCO,"2:0
(1:0)",Division 1
3840952,Nîmes Olympique,OGC Nice,"0:1
(0:1)",Division 1
3840953,Paris FC,FC Sochaux-Montbéliard,"0:2
(0:1)",Division 1
3840954,Stade Rennais FC,AS Saint-Étienne,"2:2
(1:0)",Division 1
3840955,US Valenciennes-Anzin,Stade Reims,"1:2
(0:1)",Division 1
3840956,CS Sedan-Ardennes,RC Strasbourg Alsace,"0:0
(0:0)",Division 1
3840957,Grasshopper Club Zurich,FC Sion,"4:4
(3:1)",Credit Suisse Super League
3840958,FC Lugano,FC Basel 1893,"1:0
(1:0)",Credit Suisse Super League
3840959,Servette FC,FC Luzern,"1:1
(1:0)",Credit Suisse Super League
3840960,BSC Young Boys,FC St. Gallen 1879,"2:1
(1:1)",Credit Suisse Super League
3840961,FC Zürich,FC Winterthur,"0:0
(0:0)",Credit Suisse Super League
3840962,Inter Under 17,Bologna Under 17,"2:3
(2:0)",Campionato Under 17 - Finals
3840963,Servette FC,FC Basel 1893,"0:0
(0:0)",Credit Suisse Super League
3840964,FC Sion,FC Luzern,"2:0
(1:0)",Credit Suisse Super League
3840965,FC St. Gallen 1879,FC Lugano,"1:1
(1:0)",Credit Suisse Super League
3840966,FC Winterthur,Grasshopper Club Zurich,"1:0
(0:0)",Credit Suisse Super League
3840967,FC Zürich,BSC Young Boys,"0:0
(0:0)",Credit Suisse Super League
3840968,FC Basel 1893,FC Zürich,"0:0
(0:0)",Credit Suisse Super League
3840969,Grasshopper Club Zurich,Servette FC,"2:3
(0:0)",Credit Suisse Super League
3840970,FC Lugano,BSC Young Boys,"1:4
(1:1)",Credit Suisse Super League
3840971,FC Luzern,FC St. Gallen 1879,"3:3
(2:2)",Credit Suisse Super League
3840972,FC Winterthur,FC Sion,"1:0
(1:0)",Credit Suisse Super League
3840973,FC Basel 1893,FC Winterthur,"3:1
(2:0)",Credit Suisse Super League
3840974,FC Luzern,FC Lugano,"3:1
(0:0)",Credit Suisse Super League
3840975,FC St. Gallen 1879,Servette FC,"1:1
(0:1)",Credit Suisse Super League
3840976,BSC Young Boys,FC Sion,"1:1
(0:0)",Credit Suisse Super League
3840977,FC Zürich,Grasshopper Club Zurich,"1:4
(0:2)",Credit Suisse Super League
3840978,Grasshopper Club Zurich,FC Luzern,"1:3
(1:2)",Credit Suisse Super League
3840979,Servette FC,FC Lugano,"2:2
(2:1)",Credit Suisse Super League
3840980,FC Sion,FC Zürich,"0:1
(0:1)",Credit Suisse Super League
3840981,FC Winterthur,FC St. Gallen 1879,"1:0
(1:0)",Credit Suisse Super League
3840982,BSC Young Boys,FC Basel 1893,"3:1
(2:0)",Credit Suisse Super League
3840983,CF Barcelona,Valencia CF,"1:0
(1:0)",Copa del Generalísimo
3840984,CF Barcelona,Valencia CF,"1:1
(0:0)",Copa del Generalísimo
3840985,Valencia CF,CF Barcelona,"2:2
(2:2)",Copa del Generalísimo
3840986,CF Barcelona,Real Valladolid Deportivo,"4:1
(2:1)",Copa del Generalísimo
3840987,Real Valladolid Deportivo,CF Barcelona,"2:1
(1:0)",Copa del Generalísimo
3840988,CF Barcelona,Elche CF,"2:1
(1:0)",Copa del Generalísimo
3840989,CF Barcelona,Elche CF,"4:1
(1:1)",Copa del Generalísimo
3840990,Elche CF,CF Barcelona,"4:1
(1:0)",Copa del Generalísimo
3840991,Club Real Murcia,CF Barcelona,"1:0
(:)",Copa del Generalísimo
3840992,CF Barcelona,Club Real Murcia,"3:1
(1:1)",Copa del Generalísimo
3840993,FC Basel 1893,FC Sion,"0:0
(0:0)",Credit Suisse Super League
3840994,FC Lugano,FC Zürich,"2:0
(1:0)",Credit Suisse Super League
3840995,FC Luzern,FC Winterthur,"1:1
(0:1)",Credit Suisse Super League
3840996,Servette FC,BSC Young Boys,"0:0
(0:0)",Credit Suisse Super League
3840997,FC St. Gallen 1879,Grasshopper Club Zurich,"2:1
(1:0)",Credit Suisse Super League
3840998,Grasshopper Club Zurich,FC Basel 1893,"1:0
(1:0)",Credit Suisse Super League
3840999,FC Sion,FC St. Gallen 1879,"2:7
(1:5)",Credit Suisse Super League
3841000,FC Lugano,FC Winterthur,"3:1
(2:1)",Credit Suisse Super League
3841001,BSC Young Boys,FC Luzern,"3:0
(2:0)",Credit Suisse Super League
3841002,FC Zürich,Servette FC,"4:1
(1:0)",Credit Suisse Super League
3841003,Grasshopper Club Zurich,BSC Young Boys,"1:2
(0:1)",Credit Suisse Super League
3841004,FC Luzern,FC Zürich,"2:2
(0:0)",Credit Suisse Super League
3841005,FC Sion,FC Lugano,"2:3
(1:2)",Credit Suisse Super League
3841006,FC St. Gallen 1879,FC Basel 1893,"1:1
(1:1)",Credit Suisse Super League
3841007,FC Winterthur,Servette FC,"1:2
(0:0)",Credit Suisse Super League
3841008,FC Basel 1893,FC Luzern,"2:3
(1:0)",Credit Suisse Super League
3841009,FC Lugano,Grasshopper Club Zurich,"1:1
(0:1)",Credit Suisse Super League
3841010,Servette FC,FC Sion,"2:2
(2:0)",Credit Suisse Super League
3841011,BSC Young Boys,FC Winterthur,"5:1
(3:1)",Credit Suisse Super League
3841012,FC Zürich,FC St. Gallen 1879,"1:0
(0:0)",Credit Suisse Super League
3841013,Angers SCO,AS Nancy-Lorraine,"0:0
(0:0)",Division 1
3841014,FC Girondins Bordeaux,Sporting Étoile Club Bastia ,"1:1
(1:1)",Division 1
3841015,Nîmes Olympique,CS Sedan-Ardennes,"2:1
(1:0)",Division 1
3841016,Stade Reims,FC Sochaux-Montbéliard,"1:0
(0:0)",Division 1
3841017,RC Strasbourg Alsace,Olympique Lyon,"0:2
(0:0)",Division 1
3841018,FC Metz,FC Nantes,"0:2
(0:0)",Division 1
3841019,AC Ajaccio,Olympique Marseille,"1:0
(0:0)",Division 1
3841020,OGC Nice,Paris FC,"3:2
(2:0)",Division 1
3841021,Red Star FC,Stade Rennais FC,"2:0
(1:0)",Division 1
3841022,AS Saint-Étienne,US Valenciennes-Anzin,"3:2
(1:0)",Division 1
3841023,Olympique Lyon,Nîmes Olympique,"1:0
(1:0)",Division 1
3841024,AS Nancy-Lorraine,FC Girondins Bordeaux,"2:1
(1:0)",Division 1
3841025,Paris FC,RC Strasbourg Alsace,"1:1
(1:1)",Division 1
3841026,Sporting Étoile Club Bastia ,Angers SCO,"2:0
(1:0)",Division 1
3841027,Olympique Marseille,Red Star FC,"3:0
(1:0)",Division 1
3841028,FC Nantes,Stade Reims,"0:0
(0:0)",Division 1
3841029,Stade Rennais FC,AC Ajaccio,"1:1
(1:0)",Division 1
3841030,CS Sedan-Ardennes,OGC Nice,"0:5
(0:3)",Division 1
3841031,FC Sochaux-Montbéliard,AS Saint-Étienne,"2:1
(1:0)",Division 1
3841032,US Valenciennes-Anzin,FC Metz,"1:0
(1:0)",Division 1
3841033,Grasshopper Club Zurich,FC Basel 1893,"1:0
(0:0)",Credit Suisse Super League
3841034,FC Luzern,BSC Young Boys,"1:1
(1:0)",Credit Suisse Super League
3841035,FC Sion,FC Zürich,"0:1
(0:0)",Credit Suisse Super League
3841036,FC St. Gallen 1879,Servette FC,"3:0
(2:0)",Credit Suisse Super League
3841037,FC Winterthur,FC Lugano,"1:0
(1:0)",Credit Suisse Super League
3841038,FC Basel 1893,FC Sion,"3:1
(1:1)",Credit Suisse Super League
3841039,FC Lugano,FC Luzern,"1:1
(1:1)",Credit Suisse Super League
3841040,Servette FC,Grasshopper Club Zurich,"2:1
(1:0)",Credit Suisse Super League
3841041,BSC Young Boys,FC St. Gallen 1879,"5:1
(2:1)",Credit Suisse Super League
3841042,FC Zürich,FC Winterthur,"1:1
(1:1)",Credit Suisse Super League
3841043,AC Ajaccio,FC Sochaux-Montbéliard,"2:0
(1:0)",Division 1
3841044,Angers SCO,Olympique Marseille,"0:2
(0:2)",Division 1
3841045,FC Girondins Bordeaux,FC Nantes,"2:1
(0:0)",Division 1
3841046,CS Sedan-Ardennes,Sporting Étoile Club Bastia ,"2:1
(0:1)",Division 1
3841047,Nîmes Olympique,Paris FC,"2:0
(2:0)",Division 1
3841048,RC Strasbourg Alsace,AS Nancy-Lorraine,"1:1
(1:0)",Division 1
3841049,FC Metz,Stade Rennais FC,"2:1
(1:0)",Division 1
3841050,OGC Nice,Olympique Lyon,"2:2
(1:2)",Division 1
3841051,Red Star FC,US Valenciennes-Anzin,"1:0
(1:0)",Division 1
3841052,AS Saint-Étienne,Stade Reims,"2:1
(1:0)",Division 1
3841053,FC Basel 1893,Servette FC,"2:2
(0:1)",Credit Suisse Super League
3841054,Grasshopper Club Zurich,FC Zürich,"1:2
(1:0)",Credit Suisse Super League
3841055,FC St. Gallen 1879,FC Luzern,"2:2
(1:1)",Credit Suisse Super League
3841056,FC Winterthur,FC Sion,"1:1
(1:0)",Credit Suisse Super League
3841057,BSC Young Boys,FC Lugano,"1:1
(0:1)",Credit Suisse Super League
3841058,FC Lugano,FC Basel 1893,"2:2
(2:0)",Credit Suisse Super League
3841059,FC Luzern,Grasshopper Club Zurich,"1:0
(0:0)",Credit Suisse Super League
3841060,Servette FC,FC Winterthur,"1:1
(1:0)",Credit Suisse Super League
3841061,FC Sion,FC St. Gallen 1879,"0:4
(0:1)",Credit Suisse Super League
3841062,FC Zürich,BSC Young Boys,"2:2
(1:0)",Credit Suisse Super League
3841063,FC Luzern,FC Basel 1893,"0:1
(0:1)",Credit Suisse Super League
3841064,FC Sion,FC Lugano,"1:1
(0:1)",Credit Suisse Super League
3841065,FC St. Gallen 1879,Grasshopper Club Zurich,"1:1
(1:1)",Credit Suisse Super League
3841066,FC Winterthur,BSC Young Boys,"1:1
(0:1)",Credit Suisse Super League
3841067,FC Zürich,Servette FC,"1:1
(0:0)",Credit Suisse Super League
3841068,FC Basel 1893,FC St. Gallen 1879,"1:1
(0:0)",Credit Suisse Super League
3841069,Grasshopper Club Zurich,FC Winterthur,"2:1
(1:0)",Credit Suisse Super League
3841070,FC Lugano,FC Zürich,"2:0
(2:0)",Credit Suisse Super League
3841071,Servette FC,FC Luzern,"0:3
(0:0)",Credit Suisse Super League
3841072,BSC Young Boys,FC Sion,"4:0
(2:0)",Credit Suisse Super League
3841073,FC Lugano,Servette FC,"1:1
(0:0)",Credit Suisse Super League
3841074,FC Sion,Grasshopper Club Zurich,"1:2
(1:1)",Credit Suisse Super League
3841075,FC Winterthur,FC St. Gallen 1879,"1:0
(0:0)",Credit Suisse Super League
3841076,BSC Young Boys,FC Basel 1893,"3:0
(0:0)",Credit Suisse Super League
3841077,FC Zürich,FC Luzern,"2:1
(1:1)",Credit Suisse Super League
3841078,FC Basel 1893,FC Winterthur,"2:0
(1:0)",Credit Suisse Super League
3841079,Grasshopper Club Zurich,FC Lugano,"2:1
(1:1)",Credit Suisse Super League
3841080,FC Luzern,FC Sion,"1:2
(0:0)",Credit Suisse Super League
3841081,Servette FC,BSC Young Boys,"2:1
(0:1)",Credit Suisse Super League
3841082,FC St. Gallen 1879,FC Zürich,"2:2
(1:1)",Credit Suisse Super League
3841083,FC Nantes,RC Strasbourg Alsace,"6:2
(3:0)",Division 1
3841084,Sporting Étoile Club Bastia ,Nîmes Olympique,"3:0
(1:0)",Division 1
3841085,Olympique Lyon,CS Sedan-Ardennes,"1:2
(1:1)",Division 1
3841086,Olympique Marseille,AS Saint-Étienne,"3:1
(2:1)",Division 1
3841087,AS Nancy-Lorraine,OGC Nice,"3:0
(1:0)",Division 1
3841088,Paris FC,Angers SCO,"1:2
(0:1)",Division 1
3841089,Stade Reims,FC Metz,"0:0
(0:0)",Division 1
3841090,Stade Rennais FC,FC Girondins Bordeaux,"3:0
(1:0)",Division 1
3841091,FC Sochaux-Montbéliard,Red Star FC,"1:0
(0:0)",Division 1
3841092,US Valenciennes-Anzin,AC Ajaccio,"3:2
(2:0)",Division 1
3841093,FC Lugano,FC St. Gallen 1879,"1:1
(1:0)",Credit Suisse Super League
3841094,FC Sion,Servette FC,"2:2
(1:1)",Credit Suisse Super League
3841095,FC Winterthur,FC Luzern,"1:2
(0:1)",Credit Suisse Super League
3841096,BSC Young Boys,Grasshopper Club Zurich,"2:0
(0:0)",Credit Suisse Super League
3841097,FC Zürich,FC Basel 1893,"1:1
(1:1)",Credit Suisse Super League
3841098,FC Basel 1893,BSC Young Boys,"1:1
(0:1)",Credit Suisse Super League
3841099,Grasshopper Club Zurich,FC Sion,"1:3
(0:1)",Credit Suisse Super League
3841100,FC Luzern,FC Zürich,"4:1
(2:1)",Credit Suisse Super League
3841101,Servette FC,FC Lugano,"0:0
(0:0)",Credit Suisse Super League
3841102,FC St. Gallen 1879,FC Winterthur,"2:3
(2:3)",Credit Suisse Super League
3841103,FC Basel 1893,FC Luzern,"0:2
(0:0)",Credit Suisse Super League
3841104,FC Lugano,FC Sion,"2:0
(0:0)",Credit Suisse Super League
3841105,FC Winterthur,Grasshopper Club Zurich,"1:2
(0:2)",Credit Suisse Super League
3841106,BSC Young Boys,Servette FC,"6:1
(4:0)",Credit Suisse Super League
3841107,FC Zürich,FC St. Gallen 1879,"1:0
(0:0)",Credit Suisse Super League
3841108,Olympique Lyon,FC Nantes,"2:4
(1:0)",Division 1
3841109,RC Strasbourg Alsace,Stade Rennais FC,"2:1
(2:0)",Division 1
3841110,AC Ajaccio,AS Saint-Étienne,"2:0
(0:0)",Division 1
3841111,Angers SCO,US Valenciennes-Anzin,"5:1
(1:1)",Division 1
3841112,FC Girondins Bordeaux,Olympique Marseille,"2:1
(0:0)",Division 1
3841113,FC Metz,FC Sochaux-Montbéliard,"2:1
(1:1)",Division 1
3841114,OGC Nice,Sporting Étoile Club Bastia ,"1:0
(1:0)",Division 1
3841115,Nîmes Olympique,AS Nancy-Lorraine,"2:1
(1:0)",Division 1
3841116,Red Star FC,Stade Reims,"1:2
(1:2)",Division 1
3841117,CS Sedan-Ardennes,Paris FC,"3:1
(1:1)",Division 1
3841118,Grasshopper Club Zurich,BSC Young Boys,"4:1
(2:1)",Credit Suisse Super League
3841119,FC Luzern,FC Winterthur,"3:1
(1:1)",Credit Suisse Super League
3841120,Servette FC,FC Zürich,"4:0
(2:0)",Credit Suisse Super League
3841121,FC Sion,FC Basel 1893,"1:2
(1:2)",Credit Suisse Super League
3841122,FC St. Gallen 1879,FC Lugano,"1:2
(1:0)",Credit Suisse Super League
3841123,FC Lugano,Grasshopper Club Zurich,"5:1
(1:1)",Credit Suisse Super League
3841124,Servette FC,FC St. Gallen 1879,"1:1
(1:1)",Credit Suisse Super League
3841125,FC Winterthur,FC Basel 1893,"1:4
(1:2)",Credit Suisse Super League
3841126,BSC Young Boys,FC Luzern,"5:1
(3:1)",Credit Suisse Super League
3841127,FC Zürich,FC Sion,"2:2
(1:2)",Credit Suisse Super League
