Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number
Dion Kacuri,Attacking Midfield,"Feb 11, 2004 (20)","1,88m",left,"Feb 7, 2024","Jun 30, 2028",€1.00m  ,FC Basel 1893,26
Adriano Onyegbule,Attacking Midfield,"Jun 23, 2006 (17)","1,84m",right,"Jul 1, 2022","Jun 30, 2025",€500k,FC Basel 1893,26
Anton Kade,Left Winger,"Jan 17, 2004 (20)","1,85m",right,"Jul 1, 2022","Jun 30, 2026",€1.20m,FC Basel 1893,26
Junior Zé,Left Winger,"Mar 22, 2006 (18)","1,78m",right,"Jul 21, 2023",-,€700k  ,FC Basel 1893,26
Juan Carlos Gauto,Right Winger,"Jun 2, 2004 (19)","1,72m",right,"Aug 28, 2023","Jun 30, 2028",€3.20m  ,FC Basel 1893,26
Yusuf Demir ,Right Winger,"Jun 2, 2003 (20)","1,71m",left,"Aug 16, 2023","Jun 30, 2024",€3.00m  ,FC Basel 1893,26
Axel Kayombo,Right Winger,"Feb 25, 2006 (18)","1,86m",right,"Jul 21, 2023","Jun 30, 2025",€150k,FC Basel 1893,26
Thierno Barry,Centre-Forward,"Oct 21, 2002 (21)","1,95m",right,"Jul 3, 2023","Jun 30, 2027",€2.50m  ,FC Basel 1893,26
Djordje Jovanovic ,Centre-Forward,"Feb 15, 1999 (25)","1,87m",right,"Aug 17, 2023","Jun 30, 2027",€2.00m  ,FC Basel 1893,26
Maurice Malone,Centre-Forward,"Aug 17, 2000 (23)","1,87m",left,"Aug 11, 2023","Jun 30, 2027",€1.50m  ,FC Basel 1893,26
Roméo Beney,Centre-Forward,"Jan 19, 2005 (19)","1,87m", ,"Jan 9, 2024","Jun 30, 2027",€700k  ,FC Basel 1893,26
Jean-Kévin Augustin,Centre-Forward,"Jun 16, 1997 (26)","1,79m",right,"Jul 1, 2022","Jun 30, 2025",€500k  ,FC Basel 1893,26
Albian Ajeti ,Centre-Forward,"Feb 26, 1997 (27)","1,81m",right,"Feb 1, 2024","Jun 30, 2025",€500k  ,FC Basel 1893,26
Andrin Hunziker ,Centre-Forward,"Feb 21, 2003 (21)","1,92m",right,"Jul 1, 2021","Jun 30, 2026",€400k,FC Basel 1893,26
Joël Mall,Goalkeeper,"Apr 5, 1991 (33)","1,97m",right,"Jul 1, 2023","Jun 30, 2025",€500k,Servette FC,61
Jérémy Frick,Goalkeeper,"Mar 8, 1993 (31)","1,92m",left,"Jul 1, 2016","Jun 30, 2027",€500k,Servette FC,61
Léo Besson,Goalkeeper,"Oct 27, 2002 (21)","1,87m",right,"Apr 8, 2023","Jun 30, 2026",€100k,Servette FC,61
Yoan Severin,Centre-Back,"Jan 24, 1997 (27)","1,86m",left,"Jul 17, 2018","Jun 30, 2026",€1.50m  ,Servette FC,61
Dylan Bronn,Centre-Back,"Jun 19, 1995 (28)","1,86m",right,"Feb 15, 2024","Jun 30, 2024",€1.50m,Servette FC,61
Omar Rekik ,Centre-Back,"Dec 20, 2001 (22)","1,88m",right,"Feb 1, 2024","Jun 30, 2024",€500k,Servette FC,61
Jérôme Onguéné,Centre-Back,"Dec 22, 1997 (26)","1,86m",right,"Aug 4, 2023","Jun 30, 2024",€500k  ,Servette FC,61
Anthony Baron ,Centre-Back,"Dec 29, 1992 (31)","1,80m",left,"Jul 20, 2022","Jun 30, 2024",€300k,Servette FC,61
Steve Rouiller ,Centre-Back,"Jul 10, 1990 (33)","1,83m",right,"Jul 1, 2018","Jun 30, 2025",€200k,Servette FC,61
Bradley Mazikou,Left-Back,"Jun 2, 1996 (27)","1,72m",right,"Jul 1, 2023","Jun 30, 2025",€1.40m  ,Servette FC,61
Valton Behrami,Left-Back,"Mar 16, 2004 (20)","1,82m",left,"Oct 31, 2022","Jun 30, 2025",€100k,Servette FC,61
Keigo Tsunemoto,Right-Back,"Oct 21, 1998 (25)","1,73m",right,"Jul 15, 2023","Jun 30, 2026",€2.00m  ,Servette FC,61
Théo Magnin,Right-Back,"Aug 9, 2003 (20)","1,71m",right,"Feb 23, 2021","Jun 30, 2024",€500k  ,Servette FC,61
Issa Kaloga,Right-Back,"Feb 27, 2004 (20)","1,82m",right,"Jul 1, 2023","Jun 30, 2026",€200k,Servette FC,61
Gaël Ondoua,Defensive Midfield,"Nov 4, 1995 (28)","1,87m",left,"Jul 20, 2023","Jun 30, 2025",€900k  ,Servette FC,61
David Douline,Defensive Midfield,"May 28, 1993 (30)","1,81m",right,"Jul 1, 2021","Jun 30, 2025",€700k,Servette FC,61
Timothé Cognat,Central Midfield,"Jan 25, 1998 (26)","1,73m",right,"Jul 1, 2019","Jun 30, 2026",€3.50m  ,Servette FC,61
Samba Diba,Central Midfield,"Dec 24, 2003 (20)","1,90m",right,"Jul 1, 2022","Jun 30, 2025",€500k,Servette FC,61
Bendegúz Bolla,Right Midfield,"Nov 22, 1999 (24)","1,79m",right,"Aug 29, 2023","Jun 30, 2024",€2.10m  ,Servette FC,61
Alexis Antunes,Attacking Midfield,"Jul 31, 2000 (23)","1,81m",right,"Jul 1, 2017","Jun 30, 2026",€2.30m  ,Servette FC,61
Dereck Kutesa,Left Winger,"Dec 6, 1997 (26)","1,77m",right,"Aug 30, 2022","Jun 30, 2025",€2.00m  ,Servette FC,61
Tiemoko Ouattara,Left Winger,"May 25, 2005 (18)","1,78m",right,"Jul 1, 2023","Jun 30, 2027",€300k,Servette FC,61
Miroslav Stevanovic,Right Winger,"Jul 29, 1990 (33)","1,80m",right,"Jul 24, 2017","Jun 30, 2025",€800k  ,Servette FC,61
Alexander Lyng,Right Winger,"Nov 26, 2004 (19)","1,77m",right,"Jul 1, 2023","Jun 30, 2026",€500k,Servette FC,61
Takuma Nishimura,Second Striker,"Oct 22, 1996 (27)","1,78m",right,"Feb 10, 2024","Jun 30, 2024",€1.20m,Servette FC,61
Jérémy Guillemenot,Centre-Forward,"Jan 6, 1998 (26)","1,84m",right,"Jul 1, 2023","Jun 30, 2026",€1.00m,Servette FC,61
Enzo Crivelli,Centre-Forward,"Feb 6, 1995 (29)","1,84m",right,"Aug 30, 2022","Jun 30, 2025",€900k,Servette FC,61
Bassirou N'Diaye ,Centre-Forward,"Feb 15, 2002 (22)","1,81m",right,"Feb 2, 2024","Jun 30, 2024",€300k,Servette FC,61
Alexandre Patrício,Centre-Forward,"Feb 17, 2004 (20)","1,79m",right,"Aug 26, 2022","Jun 30, 2025",€100k,Servette FC,61
Anthony Racioppi,Goalkeeper,"Dec 31, 1998 (25)","1,89m",right,"Jan 10, 2022","Jun 30, 2025",€1.70m  ,BSC Young Boys,452
David von Ballmoos,Goalkeeper,"Dec 30, 1994 (29)","1,92m",right,"Jul 1, 2013","Jun 30, 2025",€1.50m,BSC Young Boys,452
Dario Marzino,Goalkeeper,"Sep 19, 1996 (27)","1,84m",right,"Jul 8, 2022","Jun 30, 2024",€100k,BSC Young Boys,452
Aurèle Amenda,Centre-Back,"Jul 31, 2003 (20)","1,97m",right,"Jan 25, 2024","Jun 30, 2024",€8.00m  ,BSC Young Boys,452
Mohamed Camara,Centre-Back,"Aug 28, 1997 (26)","1,93m",right,"Jul 6, 2018","Jun 30, 2026",€3.50m  ,BSC Young Boys,452
Anel Husic,Centre-Back,"Mar 1, 2001 (23)","1,86m",left,"Feb 15, 2024","Jun 30, 2027",€800k,BSC Young Boys,452
Loris Benito ,Centre-Back,"Jan 7, 1992 (32)","1,86m",left,"Jul 4, 2022","Jun 30, 2025",€200k  ,BSC Young Boys,452
Fabian Lustenberger  ,Centre-Back,"May 2, 1988 (35)","1,82m",right,"Jul 1, 2019","Jun 30, 2024",€100k,BSC Young Boys,452
Jaouen Hadjam,Left-Back,"Mar 26, 2003 (21)","1,85m",left,"Jan 19, 2024","Jun 30, 2028",€1.50m,BSC Young Boys,452
Noah Persson,Left-Back,"Jul 16, 2003 (20)","1,84m",left,"Feb 7, 2023","Jun 30, 2027",€1.20m,BSC Young Boys,452
Lewin Blum,Right-Back,"Jul 27, 2001 (22)","1,81m",right,"Jul 1, 2021","Jun 30, 2027",€2.50m,BSC Young Boys,452
Saidy Janko,Right-Back,"Oct 22, 1995 (28)","1,81m",right,"Jul 1, 2023","Jun 30, 2027",€800k,BSC Young Boys,452
Cheikh Niasse,Defensive Midfield,"Jan 19, 2000 (24)","1,88m",right,"Feb 3, 2022","Jun 30, 2026",€3.50m  ,BSC Young Boys,452
Sandro Lauper,Defensive Midfield,"Oct 25, 1996 (27)","1,85m",right,"Jul 1, 2018","Jun 30, 2025",€1.00m,BSC Young Boys,452
Lukasz Lakomy,Central Midfield,"Jan 18, 2001 (23)","1,81m",left,"Jul 1, 2023","Jun 30, 2028",€2.00m  ,BSC Young Boys,452
Darian Males,Right Midfield,"May 3, 2001 (22)","1,88m",left,"Jul 19, 2023","Jun 30, 2027",€3.70m  ,BSC Young Boys,452
Filip Ugrinic ,Left Midfield,"Jan 5, 1999 (25)","1,84m",right,"Jul 1, 2022","Jun 30, 2026",€5.50m  ,BSC Young Boys,452
Kastriot Imeri ,Left Midfield,"Jun 27, 2000 (23)","1,78m",right,"Aug 16, 2022","Jun 30, 2026",€4.00m  ,BSC Young Boys,452
Joel Mvuka,Right Winger,"Nov 12, 2002 (21)","1,76m",right,"Jan 20, 2024","Jun 30, 2024",€4.00m,BSC Young Boys,452
Ebrima Colley,Right Winger,"Feb 1, 2000 (24)","1,80m",right,"Sep 1, 2023","Jun 30, 2024",€2.60m,BSC Young Boys,452
Malik Deme,Right Winger,"Mar 16, 2005 (19)","1,82m",right,"Jul 1, 2023","Jun 30, 2027",€400k,BSC Young Boys,452
Meschack Elia,Centre-Forward,"Aug 6, 1997 (26)","1,73m",right,"Feb 14, 2020","Jun 30, 2026",€8.00m  ,BSC Young Boys,452
Cedric Itten,Centre-Forward,"Dec 27, 1996 (27)","1,90m",right,"Jul 1, 2022","Jun 30, 2027",€3.00m  ,BSC Young Boys,452
Joël Monteiro,Centre-Forward,"Aug 5, 1999 (24)","1,91m",right,"Mar 1, 2021","Jun 30, 2026",€3.00m  ,BSC Young Boys,452
Silvere Ganvoula,Centre-Forward,"Jun 29, 1996 (27)","1,91m",right,"Jul 1, 2023","Jun 30, 2026",€600k  ,BSC Young Boys,452
Amir Saipi,Goalkeeper,"Jul 8, 2000 (23)","1,94m",right,"Sep 10, 2021","Jun 30, 2026",€2.50m  ,FC Lugano,2790
Serif Berbic,Goalkeeper,"Nov 25, 2001 (22)","1,94m",right,"Aug 4, 2022","Jun 30, 2026",€100k,FC Lugano,2790
Fotis Pseftis,Goalkeeper,"Jan 19, 2003 (21)","1,91m",right,"Jul 11, 2023","Jun 30, 2025",€100k,FC Lugano,2790
Sebastian Osigwe,Goalkeeper,"Mar 26, 1994 (30)","1,85m",right,"Aug 20, 2020","Jun 30, 2026",€100k  ,FC Lugano,2790
Albian Hajdari,Centre-Back,"May 18, 2003 (20)","1,89m",left,"Apr 1, 2023","Jun 30, 2027",€2.50m  ,FC Lugano,2790
Lukas Mai,Centre-Back,"Mar 31, 2000 (24)","1,88m",right,"Jul 1, 2022","Jun 30, 2025",€2.50m  ,FC Lugano,2790
Kreshnik Hajrizi ,Centre-Back,"May 28, 1999 (24)","1,85m",right,"Jul 1, 2021","Jun 30, 2024",€1.20m  ,FC Lugano,2790
Ayman El Wafi,Centre-Back,"May 11, 2004 (19)","1,89m",right,"Jul 1, 2023","Jun 30, 2027",€1.00m  ,FC Lugano,2790
Leonid Srdic,Centre-Back,"Jan 23, 2002 (22)","1,85m",right,"Jul 27, 2021","Jun 30, 2024",€100k  ,FC Lugano,2790
Noah De Queiroz,Centre-Back,"Dec 10, 2002 (21)","1,82m",right,,"Jun 30, 2024",€100k,FC Lugano,2790
Martim Marques,Left-Back,"Feb 11, 2004 (20)","1,73m",left,"Jul 1, 2023","Jun 30, 2027",€1.50m,FC Lugano,2790
Milton Valenzuela ,Left-Back,"Aug 13, 1998 (25)","1,70m",left,"Jan 30, 2022","Jun 30, 2025",€1.20m  ,FC Lugano,2790
Jhon Espinoza,Right-Back,"Feb 24, 1999 (25)","1,80m",right,"Jan 1, 2023","Jun 30, 2024",€800k,FC Lugano,2790
Justin Reynolds,Right-Back,"Apr 8, 2004 (19)","1,78m",right,"Mar 12, 2024","Jun 30, 2024",€100k  ,FC Lugano,2790
Mohamed Belhadj Mahmoud ,Defensive Midfield,"Apr 24, 2000 (23)","1,79m",right,"Aug 25, 2021","Jun 30, 2026",€2.00m  ,FC Lugano,2790
Ousmane Doumbia,Defensive Midfield,"May 21, 1992 (31)","1,74m",right,"Jul 1, 2022","Jun 30, 2026",€800k,FC Lugano,2790
Ilija Maslarov,Defensive Midfield,"Jan 2, 2007 (17)","1,81m",right,,"Jun 30, 2024",€200k,FC Lugano,2790
Johan Nkama,Defensive Midfield,"Jan 7, 1998 (26)","1,89m",left,"Jul 1, 2017","Jun 30, 2025",€100k  ,FC Lugano,2790
Uran Bislimi ,Central Midfield,"Sep 25, 1999 (24)","1,83m",right,"Jul 19, 2022","Jun 30, 2026",€2.20m  ,FC Lugano,2790
Roman Macek,Central Midfield,"Apr 18, 1997 (26)","1,88m",right,"Jan 27, 2019","Jun 30, 2025",€800k,FC Lugano,2790
Anto Grgic,Central Midfield,"Nov 28, 1996 (27)","1,89m",right,"Jul 1, 2023","Jun 30, 2027",€800k,FC Lugano,2790
Jonathan Sabbatini ,Central Midfield,"Mar 31, 1988 (36)","1,75m",right,"Aug 27, 2012","Jun 30, 2024",€100k,FC Lugano,2790
Abel Marc,Central Midfield,"Apr 19, 2001 (22)","1,72m",right,"Jul 15, 2021","Jun 30, 2024",€100k,FC Lugano,2790
Gianluca Pizzagalli,Right Midfield,"Mar 10, 2003 (21)","1,77m",right,,"Jun 30, 2024",€100k  ,FC Lugano,2790
Yanis Cimignani,Left Midfield,"Jan 22, 2002 (22)","1,76m",left,"Jul 1, 2023","Jun 30, 2027",€2.30m,FC Lugano,2790
Mattia Bottani ,Attacking Midfield,"May 24, 1991 (32)","1,70m",right,"Aug 18, 2017","Jun 30, 2025",€300k  ,FC Lugano,2790
Ignacio Aliseda,Left Winger,"Mar 14, 2000 (24)","1,68m",left,"Jan 1, 2022","Jun 30, 2025",€3.00m,FC Lugano,2790
Renato Steffen ,Right Winger,"Nov 3, 1991 (32)","1,70m",left,"Aug 30, 2022","Jun 30, 2025",€1.00m,FC Lugano,2790
Hicham Mahou,Right Winger,"Jul 2, 1999 (24)","1,79m",right,"Jul 4, 2022","Jun 30, 2026",€700k,FC Lugano,2790
Zan Celar,Centre-Forward,"Mar 14, 1999 (25)","1,86m",right,"Aug 27, 2021","Jun 30, 2025",€4.00m,FC Lugano,2790
Shkelqim Vladi,Centre-Forward,"Sep 21, 2000 (23)","1,86m",right,"Jul 1, 2023","Jun 30, 2027",€1.60m  ,FC Lugano,2790
Kacper Przybylko,Centre-Forward,"Mar 25, 1993 (31)","1,92m",right,"Feb 15, 2024","Jun 30, 2025",€1.20m,FC Lugano,2790
Boris Babic,Centre-Forward,"Nov 10, 1997 (26)","1,80m",right,"Jul 5, 2022","Jun 30, 2025",€300k,FC Lugano,2790
Giovanni D'Agostino,Centre-Forward,"Aug 27, 2004 (19)",-,right,"Jul 1, 2023","Jun 30, 2024",€100k  ,FC Lugano,2790
Karlo Letica,Goalkeeper,"Feb 11, 1997 (27)","2,01m",right,"Aug 24, 2023","Jun 30, 2025",€800k  ,FC Lausanne-Sport,527
Thomas Castella,Goalkeeper,"Jun 30, 1993 (30)","1,85m",right,"Jul 1, 2012","Jun 30, 2028",€200k,FC Lausanne-Sport,527
Raphael Spiegel,Goalkeeper,"Dec 19, 1992 (31)","1,97m",right,"Jul 1, 2022",-,€200k,FC Lausanne-Sport,527
Gábor Szalai,Centre-Back,"Jun 9, 2000 (23)","1,91m",left,"Jan 7, 2024","Jun 30, 2028",€1.00m  ,FC Lausanne-Sport,527
Noë Dussenne,Centre-Back,"Apr 7, 1992 (31)","1,92m",right,"Jul 1, 2023","Jun 30, 2026",€600k,FC Lausanne-Sport,527
Berkay Dabanli,Centre-Back,"Jun 27, 1990 (33)","1,90m",left,"Jul 5, 2022","Jun 30, 2024",€200k,FC Lausanne-Sport,527
Mickaël Nanizayamo,Centre-Back,"May 8, 1998 (25)","1,91m",left,"Jul 1, 2018","Jun 30, 2024",€200k,FC Lausanne-Sport,527
Simone Grippo,Centre-Back,"Dec 12, 1988 (35)","1,88m",right,"Aug 29, 2021","Jun 30, 2024",€100k,FC Lausanne-Sport,527
Morgan Poaty,Left-Back,"Jul 15, 1997 (26)","1,77m",left,"Aug 22, 2023",-,€500k,FC Lausanne-Sport,527
Chris Kablan,Left-Back,"Nov 30, 1994 (29)","1,76m",right,"Jan 24, 2023","Jun 30, 2024",€200k,FC Lausanne-Sport,527
Haithem Loucif,Right-Back,"Jul 8, 1996 (27)","1,77m",right,"Feb 8, 2024","Jun 30, 2024",€600k,FC Lausanne-Sport,527
Raoul Giger,Right-Back,"Oct 29, 1997 (26)","1,80m",right,"Jul 1, 2022","Jun 30, 2025",€500k,FC Lausanne-Sport,527
Jamie Roche,Defensive Midfield,"Apr 5, 2001 (23)","1,91m",left,"Jul 25, 2023","Jun 30, 2027",€1.50m  ,FC Lausanne-Sport,527
Olivier Custodio ,Defensive Midfield,"Feb 10, 1995 (29)","1,80m",right,"Jul 1, 2022",-,€400k,FC Lausanne-Sport,527
Maxen Kapo,Defensive Midfield,"Jan 19, 2001 (23)","1,92m",right,"Jul 1, 2021","Jun 30, 2025",€100k,FC Lausanne-Sport,527
Antoine Bernede,Central Midfield,"May 26, 1999 (24)","1,78m",right,"Jul 1, 2023","Jun 30, 2026",€2.80m  ,FC Lausanne-Sport,527
Alvyn Sanches,Central Midfield,"Feb 12, 2003 (21)","1,80m",left,"Nov 13, 2020","Jun 30, 2026",€2.50m  ,FC Lausanne-Sport,527
Stjepan Kukuruzovic,Central Midfield,"Jun 7, 1989 (34)","1,80m",left,"Aug 29, 2018","Jun 30, 2024",€100k,FC Lausanne-Sport,527
Donat Rrudhani,Right Midfield,"May 2, 1999 (24)","1,88m",left,"Feb 6, 2024","Jun 30, 2024",€600k  ,FC Lausanne-Sport,527
Simone Pafundi,Attacking Midfield,"Mar 14, 2006 (18)","1,66m",left,"Jan 25, 2024","Dec 31, 2024",€10.00m  ,FC Lausanne-Sport,527
Rares Ilie,Left Winger,"Apr 19, 2003 (20)","1,85m",right,"Jul 1, 2023","Jun 30, 2024",€3.30m  ,FC Lausanne-Sport,527
Trae Coyle ,Left Winger,"Jan 11, 2001 (23)","1,79m",right,"Jul 1, 2021","Jun 30, 2024",€400k,FC Lausanne-Sport,527
Samuel Kalu,Right Winger,"Aug 26, 1997 (26)","1,77m",right,"Sep 7, 2023","Jun 30, 2024",€2.50m,FC Lausanne-Sport,527
Fousseni Diabaté,Right Winger,"Oct 18, 1995 (28)","1,78m",left,"Sep 7, 2023","Jun 30, 2025",€1.50m  ,FC Lausanne-Sport,527
Kaly Sène,Centre-Forward,"May 28, 2001 (22)","1,80m",right,"Jul 1, 2023","Jun 30, 2026",€2.50m  ,FC Lausanne-Sport,527
Brighton Labeau,Centre-Forward,"Jan 1, 1996 (28)","1,83m",right,"Jul 1, 2022",-,€700k,FC Lausanne-Sport,527
Seydou Traoré,Centre-Forward,"Dec 5, 2004 (19)","1,85m",right,"Jul 1, 2023","Jun 30, 2027",€100k,FC Lausanne-Sport,527
Pascal Loretz,Goalkeeper,"Jun 1, 2003 (20)","1,91m",right,"Jul 1, 2021","Jun 30, 2027",€4.00m  ,FC Luzern,434
Diego Heller ,Goalkeeper,"Nov 20, 2004 (19)","1,80m",right,"Jul 20, 2023","Jun 30, 2026",€100k,FC Luzern,434
Vaso Vasic,Goalkeeper,"Apr 26, 1990 (33)","1,87m",right,"Jul 1, 2021","Jun 30, 2025",€100k,FC Luzern,434
Luca Jaquez,Centre-Back,"Jun 2, 2003 (20)","1,87m",right,"Jan 27, 2022","Jun 30, 2026",€1.20m  ,FC Luzern,434
Ismajl Beka ,Centre-Back,"Oct 31, 1999 (24)","1,97m",left,"Aug 31, 2022","Jun 30, 2026",€1.10m,FC Luzern,434
Jesper Löfgren,Centre-Back,"May 3, 1997 (26)","1,94m",right,"Jan 18, 2024","Jun 30, 2024",€600k,FC Luzern,434
Mauricio Willimann,Centre-Back,"Jan 16, 2003 (21)","1,83m",right,"Jul 1, 2023","Jun 30, 2026",€300k,FC Luzern,434
Denis Simani,Centre-Back,"Oct 13, 1991 (32)","1,87m",left,"Jan 5, 2022","Jun 30, 2024",€200k,FC Luzern,434
Serkan Izmirlioglu,Centre-Back,"Jul 10, 1998 (25)","1,84m",right,"Jan 26, 2022","Jun 30, 2024",€100k  ,FC Luzern,434
Martin Frydek,Left-Back,"Mar 24, 1992 (32)","1,79m",left,"Oct 12, 2020","Jun 30, 2024",€400k  ,FC Luzern,434
Leny Meyer,Left-Back,"Jul 1, 2004 (19)","1,82m",left,"Jul 1, 2022","Jun 30, 2025",€200k,FC Luzern,434
Severin Ottiger,Right-Back,"Apr 20, 2003 (20)","1,83m",right,"Jul 1, 2021","Jun 30, 2027",€1.50m  ,FC Luzern,434
Dario Ulrich,Right-Back,"Mar 12, 1998 (26)","1,73m",right,"Jul 1, 2023","Jun 30, 2025",€300k,FC Luzern,434
Ardon Jashari ,Defensive Midfield,"Jul 30, 2002 (21)","1,81m",left,"Jan 27, 2022","Jun 30, 2026",€6.00m  ,FC Luzern,434
Nicky Beloko,Central Midfield,"Feb 16, 2000 (24)","1,84m",right,"Jul 6, 2022","Jun 30, 2025",€2.00m  ,FC Luzern,434
Nicolas Haas,Central Midfield,"Jan 23, 1996 (28)","1,78m",right,"Sep 3, 2023","Jun 30, 2024",€900k  ,FC Luzern,434
Noah Rupp,Central Midfield,"Aug 13, 2003 (20)","1,84m",left,"Oct 8, 2021","Jun 30, 2024",€200k  ,FC Luzern,434
Pius Dorn,Right Midfield,"Sep 24, 1996 (27)","1,79m",right,"Jul 1, 2022","Jun 30, 2026",€1.50m,FC Luzern,434
Max Meyer,Attacking Midfield,"Sep 18, 1995 (28)","1,73m",right,"Aug 24, 2022","Jun 30, 2024",€2.00m  ,FC Luzern,434
Jakub Kadák,Attacking Midfield,"Dec 14, 2000 (23)","1,77m",right,"Jul 19, 2022","Jun 30, 2026",€900k,FC Luzern,434
Samuele Campo,Attacking Midfield,"Jul 6, 1995 (28)","1,77m",left,"Jul 2, 2021","Jun 30, 2024",€100k  ,FC Luzern,434
Samuel Alabi ,Attacking Midfield,"May 6, 2000 (23)","1,70m",right,"Sep 24, 2020","Jun 30, 2024",€100k,FC Luzern,434
Sofyan Chader ,Left Winger,"May 12, 2000 (23)","1,78m",right,"Aug 11, 2022","Jun 30, 2025",€1.00m  ,FC Luzern,434
Kevin Spadanuda ,Left Winger,"Jan 16, 1997 (27)","1,77m",right,"Jul 1, 2023","Jun 30, 2026",€300k  ,FC Luzern,434
Luuk Breedijk,Left Winger,"Feb 20, 2004 (20)","1,85m",right,"Jan 26, 2023","Jun 30, 2026",€300k  ,FC Luzern,434
Teddy Okou,Right Winger,"May 15, 1998 (25)","1,66m",left,"Jul 1, 2023","Jun 30, 2026",€800k,FC Luzern,434
Lars Villiger,Centre-Forward,"Apr 29, 2003 (20)","1,90m",right,"Apr 1, 2023","Jun 30, 2026",€1.50m  ,FC Luzern,434
Adrian Grbic,Centre-Forward,"Aug 4, 1996 (27)","1,88m",left,"Feb 5, 2024","Jun 30, 2024",€1.20m,FC Luzern,434
Thibault Klidjé,Centre-Forward,"Jul 10, 2001 (22)","1,70m",right,"Aug 31, 2022","Jun 30, 2026",€500k  ,FC Luzern,434
Kemal Ademi ,Centre-Forward,"Jan 23, 1996 (28)","1,97m",right,"Jul 1, 2023","Jun 30, 2025",€500k,FC Luzern,434
Lawrence Ati Zigi,Goalkeeper,"Nov 29, 1996 (27)","1,88m",right,"Jan 24, 2020","Jun 30, 2025",€2.00m  ,FC St. Gallen 1879,257
Lukas Watkowiak,Goalkeeper,"Mar 6, 1996 (28)","1,97m",right,"Aug 20, 2020","Jun 30, 2025",€200k,FC St. Gallen 1879,257
Bela Dumrath,Goalkeeper,"Nov 18, 2003 (20)","1,98m",right,"Jul 1, 2022","Jun 30, 2024",€100k,FC St. Gallen 1879,257
