Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number
Fabian Lustenberger  ,Centre-Back,"May 2, 1988 (35)","1,82m",right,"Jul 1, 2019",,€200k,BSC Young Boys,452
Ulisses Garcia ,Left-Back,"Jan 11, 1996 (27)","1,82m",left,"Jul 1, 2018",,€2.70m,BSC Young Boys,452
Lewin Blum,Right-Back,"Jul 27, 2001 (21)","1,81m",right,"Jul 1, 2021",,€1.80m,BSC Young Boys,452
Kevin Rüegg,Right-Back,"Aug 5, 1998 (24)","1,73m",right,"Jul 16, 2022",,€800k,BSC Young Boys,452
Quentin Maceiras,Right-Back,"Oct 10, 1995 (27)","1,80m",right,"Aug 11, 2020",,€500k,BSC Young Boys,452
Cheikh Niasse ,Defensive Midfield,"Jan 19, 2000 (23)","1,88m",right,"Feb 3, 2022",,€2.80m,BSC Young Boys,452
Sandro Lauper,Defensive Midfield,"Oct 25, 1996 (26)","1,85m",right,"Jul 1, 2018",,€1.70m,BSC Young Boys,452
Miguel Chaiwa,Defensive Midfield,"Jun 7, 2004 (19)","1,79m",right,"Jul 1, 2022",,€600k,BSC Young Boys,452
Esteban Petignat,Defensive Midfield,"May 17, 2000 (23)","1,77m",right,"Jul 1, 2019",,€75k,BSC Young Boys,452
Vincent Sierro,Central Midfield,"Oct 8, 1995 (27)","1,85m",right,"Jul 1, 2019",,€1.50m,BSC Young Boys,452
Alexandre Jankewitz ,Central Midfield,"Dec 25, 2001 (21)","1,85m",right,"Jul 12, 2021",,€500k,BSC Young Boys,452
Christian Fassnacht,Right Midfield,"Nov 11, 1993 (29)","1,85m",right,"Jul 1, 2017",,€2.50m,BSC Young Boys,452
Donat Rrudhani,Right Midfield,"May 2, 1999 (24)","1,88m",left,"Jul 1, 2022",,€700k,BSC Young Boys,452
Kastriot Imeri ,Left Midfield,"Jun 27, 2000 (23)","1,78m",right,"Aug 16, 2022",,€6.00m,BSC Young Boys,452
Filip Ugrinic ,Left Midfield,"Jan 5, 1999 (24)","1,84m",right,"Jul 1, 2022",,€2.70m,BSC Young Boys,452
Fabian Rieder,Attacking Midfield,"Feb 16, 2002 (21)","1,79m",left,"Jan 14, 2021",,€15.00m,BSC Young Boys,452
Théo Golliard,Attacking Midfield,"Sep 27, 2002 (20)","1,74m",right,"Jul 1, 2023",,€200k,BSC Young Boys,452
Nicolas Moumi Ngamaleu,Left Winger,"Jul 9, 1994 (28)","1,81m",right,"Aug 26, 2017",,€3.00m,BSC Young Boys,452
Felix Mambimbi ,Left Winger,"Jan 18, 2001 (22)","1,71m",right,"Jul 1, 2019",,€2.50m,BSC Young Boys,452
Meschack Elia,Centre-Forward,"Aug 6, 1997 (25)","1,73m",right,"Feb 14, 2020",,€5.00m,BSC Young Boys,452
Cedric Itten,Centre-Forward,"Dec 27, 1996 (26)","1,90m",right,"Jul 1, 2022",,€4.00m,BSC Young Boys,452
Jean-Pierre Nsame,Centre-Forward,"May 1, 1993 (30)","1,88m",right,"Jul 19, 2017",,€3.50m,BSC Young Boys,452
Wilfried Kanga,Centre-Forward,"Feb 21, 1998 (25)","1,89m",right,"Jul 8, 2021",,€3.00m,BSC Young Boys,452
Joël Monteiro,Centre-Forward,"Aug 5, 1999 (23)","1,91m",right,"Mar 1, 2021",,€700k,BSC Young Boys,452
Yannick Toure,Centre-Forward,"Sep 29, 2000 (22)","1,84m",right,"Aug 16, 2021",,€300k,BSC Young Boys,452
Jonathan De Donno,Centre-Forward,"Feb 16, 2002 (21)","1,93m", ,, ,€100k,BSC Young Boys,452
Amir Saipi,Goalkeeper,"Jul 8, 2000 (22)","1,94m",right,"Sep 10, 2021",,€1.30m,FC Lugano,2790
Sebastian Osigwe,Goalkeeper,"Mar 26, 1994 (29)","1,85m",right,"Aug 20, 2020",,€400k,FC Lugano,2790
Attilio Morosoli ,Goalkeeper,"Dec 24, 2004 (18)","1,82m",right,, ,€100k,FC Lugano,2790
Diego Mina,Goalkeeper,"Aug 12, 2005 (17)","1,85m", ,, ,€100k,FC Lugano,2790
Serif Berbic,Goalkeeper,"Nov 25, 2001 (21)","1,94m",right,"Aug 4, 2022",,€100k,FC Lugano,2790
Lukas Mai,Centre-Back,"Mar 31, 2000 (23)","1,88m",right,"Jul 1, 2022",,€2.00m,FC Lugano,2790
Albian Hajdari ,Centre-Back,"May 18, 2003 (20)","1,89m",left,"Apr 1, 2023",,€1.00m,FC Lugano,2790
Kreshnik Hajrizi ,Centre-Back,"May 28, 1999 (24)","1,85m",right,"Jul 1, 2021",,€500k,FC Lugano,2790
Fabio Daprelà,Centre-Back,"Feb 19, 1991 (32)","1,83m",left,"Aug 31, 2017",,€200k,FC Lugano,2790
Reto Ziegler,Centre-Back,"Jan 16, 1986 (37)","1,83m",left,"Feb 25, 2021",,€100k,FC Lugano,2790
Noah De Queiroz,Centre-Back,"Dec 10, 2002 (20)","1,82m",right,, ,€100k,FC Lugano,2790
Leonid Srdic,Centre-Back,"Jan 23, 2002 (21)","1,85m",right,"Jul 27, 2021",,€100k,FC Lugano,2790
Milton Valenzuela,Left-Back,"Aug 13, 1998 (24)","1,70m",left,"Jan 30, 2022",,€1.70m,FC Lugano,2790
Fabian Stöber,Left-Back,"Feb 27, 2002 (21)","1,74m",left,, ,€100k,FC Lugano,2790
Luca Molino,Left-Back,"Oct 7, 2003 (19)","1,82m",left,, ,€100k,FC Lugano,2790
Mickaël Facchinetti,Left-Back,"Feb 15, 1991 (32)","1,83m",left,"Oct 12, 2020",,€100k,FC Lugano,2790
Jhon Espinoza,Right-Back,"Feb 24, 1999 (24)","1,80m",right,"Jan 1, 2023",,€800k,FC Lugano,2790
Allan Arigoni,Right-Back,"Nov 4, 1998 (24)","1,84m",right,"Jul 1, 2022",,€800k,FC Lugano,2790
Matteo Lape,Right-Back,"Oct 15, 2003 (19)",-,right,, ,€10k,FC Lugano,2790
Ousmane Doumbia,Defensive Midfield,"May 21, 1992 (31)","1,74m",right,"Jul 1, 2022",,€900k,FC Lugano,2790
Mohamed Belhadj Mahmoud,Defensive Midfield,"Apr 24, 2000 (23)","1,79m",right,"Aug 25, 2021",,€500k,FC Lugano,2790
Adrian Durrer,Defensive Midfield,"Jul 13, 2001 (21)","1,88m",right,"Jan 6, 2022",,€250k,FC Lugano,2790
Johan Nkama,Defensive Midfield,"Jan 7, 1998 (25)","1,89m",left,"Jul 1, 2017",,€100k,FC Lugano,2790
Uran Bislimi,Central Midfield,"Sep 25, 1999 (23)","1,83m",right,"Jul 19, 2022",,€800k,FC Lugano,2790
Roman Macek,Central Midfield,"Apr 18, 1997 (26)","1,88m",right,"Jan 27, 2019",,€600k,FC Lugano,2790
Mohamad Alshikh,Central Midfield,"Jan 1, 2001 (22)","1,77m",right,, ,€150k,FC Lugano,2790
Jonathan Sabbatini ,Central Midfield,"Mar 31, 1988 (35)","1,75m",right,"Aug 27, 2012",,€100k,FC Lugano,2790
Andrea Maccoppi,Central Midfield,"Jan 22, 1987 (36)","1,78m",right,, ,€25k,FC Lugano,2790
Michel De Jesus Sousa,Right Midfield,"Mar 22, 2001 (22)","1,76m",right,, ,€100k,FC Lugano,2790
Maren Haile-Selassie,Left Midfield,"Mar 13, 1999 (24)","1,76m",right,"Jan 1, 2022",,€600k,FC Lugano,2790
Mattia Bottani,Attacking Midfield,"May 24, 1991 (32)","1,70m",right,"Aug 18, 2017",,€400k,FC Lugano,2790
Ignacio Aliseda,Left Winger,"Mar 14, 2000 (23)","1,68m",left,"Jan 1, 2022",,€3.50m,FC Lugano,2790
Renato Steffen,Right Winger,"Nov 3, 1991 (31)","1,70m",left,"Aug 30, 2022",,€1.00m,FC Lugano,2790
Hicham Mahou,Right Winger,"Jul 2, 1999 (23)","1,79m",right,"Jul 4, 2022",,€700k,FC Lugano,2790
Zan Celar,Centre-Forward,"Mar 14, 1999 (24)","1,86m",right,"Aug 27, 2021",,€4.00m,FC Lugano,2790
Mohamed Amoura,Centre-Forward,"May 9, 2000 (23)","1,70m",right,"Aug 29, 2021",,€2.00m,FC Lugano,2790
Boris Babic,Centre-Forward,"Nov 10, 1997 (25)","1,80m",right,"Jul 5, 2022",,€300k,FC Lugano,2790
Johann Angstmann,Centre-Forward,"Jan 16, 2003 (20)","1,87m",right,, ,€100k,FC Lugano,2790
Alessandro Casciato,Centre-Forward,"May 30, 2000 (23)","1,87m", ,"Feb 11, 2022",,€50k,FC Lugano,2790
Simone Musumeci,Centre-Forward,"Nov 3, 2001 (21)","1,83m", ,, ,€25k,FC Lugano,2790
Marius Müller,Goalkeeper,"Jul 12, 1993 (29)","1,92m",right,"Jul 5, 2019",,€1.00m,FC Luzern,434
Pascal Loretz,Goalkeeper,"Jun 1, 2003 (20)","1,91m",right,"Jul 1, 2021",,€800k,FC Luzern,434
Vaso Vasic,Goalkeeper,"Apr 26, 1990 (33)","1,87m",right,"Jul 1, 2021",,€200k,FC Luzern,434
Diego Heller ,Goalkeeper,"Nov 20, 2004 (18)","1,80m",right,"Jul 20, 2023",,€150k,FC Luzern,434
Marco Burch,Centre-Back,"Oct 19, 2000 (22)","1,86m",right,"Jul 1, 2019",,€4.00m,FC Luzern,434
Ismajl Beka ,Centre-Back,"Oct 31, 1999 (23)","1,97m",left,"Aug 31, 2022",,€800k,FC Luzern,434
Luca Jaquez,Centre-Back,"Jun 2, 2003 (20)","1,87m",right,"Jan 27, 2022",,€600k,FC Luzern,434
Mauricio Willimann,Centre-Back,"Jan 16, 2003 (20)","1,83m",right,"Jul 1, 2023",,€200k,FC Luzern,434
Denis Simani,Centre-Back,"Oct 13, 1991 (31)","1,87m",left,"Jan 5, 2022",,€200k,FC Luzern,434
Thoma Monney,Centre-Back,"Feb 26, 2002 (21)","1,88m", ,"Jul 1, 2021",,€150k,FC Luzern,434
Martin Frydek,Left-Back,"Mar 24, 1992 (31)","1,79m",left,"Oct 12, 2020",,€500k,FC Luzern,434
Leny Meyer,Left-Back,"Jul 1, 2004 (18)","1,82m",left,"Jul 1, 2022",,€200k,FC Luzern,434
Rúben Dantas Fernandes,Left-Back,"May 19, 2003 (20)","1,80m",left,"Jul 1, 2023",,€125k,FC Luzern,434
Mohamed Dräger,Right-Back,"Jun 25, 1996 (27)","1,81m",right,"Feb 2, 2022",,€900k,FC Luzern,434
Severin Ottiger,Right-Back,"Apr 20, 2003 (20)","1,83m",right,"Jul 1, 2021",,€800k,FC Luzern,434
Ardon Jashari ,Defensive Midfield,"Jul 30, 2002 (20)","1,81m",left,"Jan 27, 2022",,€7.50m,FC Luzern,434
Mamady Diambou,Defensive Midfield,"Nov 11, 2002 (20)","1,76m",right,"Jan 4, 2023",,€1.00m,FC Luzern,434
Nicky Beloko,Central Midfield,"Feb 16, 2000 (23)","1,84m",right,"Jul 6, 2022",,€2.40m,FC Luzern,434
Noah Rupp,Central Midfield,"Aug 13, 2003 (19)","1,84m",left,"Oct 8, 2021",,€400k,FC Luzern,434
Mihailo Stevanovic,Central Midfield,"Jan 4, 2002 (21)","1,86m",right,, ,€300k,FC Luzern,434
Lorik Emini,Central Midfield,"Aug 29, 1999 (23)","1,76m",right,"Jan 24, 2020",,€300k,FC Luzern,434
Christian Gentner,Central Midfield,"Aug 14, 1985 (37)","1,89m",right,"Jul 1, 2021",,-,FC Luzern,434
Pius Dorn,Right Midfield,"Sep 24, 1996 (26)","1,79m",right,"Jul 1, 2022",,€1.20m,FC Luzern,434
Pascal Schürpf,Left Midfield,"Jul 15, 1989 (33)","1,90m",right,"Feb 28, 2017",,€200k,FC Luzern,434
Max Meyer,Attacking Midfield,"Sep 18, 1995 (27)","1,73m",right,"Aug 24, 2022",,€3.00m,FC Luzern,434
Jakub Kadák,Attacking Midfield,"Dec 14, 2000 (22)","1,77m",right,"Jul 19, 2022",,€600k,FC Luzern,434
Samuel Alabi ,Attacking Midfield,"May 6, 2000 (23)","1,70m",right,"Sep 24, 2020",,€200k,FC Luzern,434
Samuele Campo,Attacking Midfield,"Jul 6, 1995 (27)","1,77m",left,"Jul 2, 2021",,€200k,FC Luzern,434
Iwan Hegglin,Attacking Midfield,"Jun 26, 2002 (21)","1,84m",right,, ,€100k,FC Luzern,434
Sofyan Chader ,Left Winger,"May 12, 2000 (23)","1,78m",right,"Aug 11, 2022",,€800k,FC Luzern,434
Ibrahima Ndiaye,Left Winger,"Jul 6, 1998 (24)","1,76m",left,"Aug 3, 2019",,€500k,FC Luzern,434
Luuk Breedijk,Left Winger,"Feb 20, 2004 (19)","1,85m",right,"Jan 26, 2023",,€400k,FC Luzern,434
Varol Tasar ,Right Winger,"Oct 4, 1996 (26)","1,74m",left,"Jul 1, 2021",,€300k,FC Luzern,434
Joaquín Ardaiz  ,Centre-Forward,"Jan 11, 1999 (24)","1,86m",left,"Jul 1, 2022",,€700k,FC Luzern,434
Asumah Abubakar,Centre-Forward,"May 10, 1997 (26)","1,83m",right,"Jan 14, 2022",,€400k,FC Luzern,434
Lars Villiger,Centre-Forward,"Apr 29, 2003 (20)","1,90m",right,"Apr 1, 2023",,€400k,FC Luzern,434
Thibault Klidjé,Centre-Forward,"Jul 10, 2001 (21)","1,70m",right,"Aug 31, 2022",,€300k,FC Luzern,434
Benjamin Kimpioka,Centre-Forward,"Feb 21, 2000 (23)","1,83m",right,"Jan 23, 2023",,€300k,FC Luzern,434
Dejan Sorgic,Centre-Forward,"Sep 15, 1989 (33)","1,77m",right,"Oct 1, 2020",,€200k,FC Luzern,434
Nando Toggenburger,Centre-Forward,"Mar 17, 2004 (19)","1,80m",right,"Jul 13, 2022",,€200k,FC Luzern,434
Lawrence Ati Zigi,Goalkeeper,"Nov 29, 1996 (26)","1,88m",right,"Jan 24, 2020",,€2.50m,FC St. Gallen 1879,257
Lukas Watkowiak,Goalkeeper,"Mar 6, 1996 (27)","1,97m",right,"Aug 20, 2020",,€200k,FC St. Gallen 1879,257
Bela Dumrath,Goalkeeper,"Nov 18, 2003 (19)","1,98m",right,"Jul 1, 2022",,€100k,FC St. Gallen 1879,257
Leonidas Stergiou,Centre-Back,"Mar 3, 2002 (21)","1,81m",right,"Feb 6, 2019",,€3.00m,FC St. Gallen 1879,257
Matej Maglica,Centre-Back,"Sep 25, 1998 (24)","1,98m",left,"Jul 1, 2022",,€1.00m,FC St. Gallen 1879,257
Albert Vallci,Centre-Back,"Jul 2, 1995 (27)","1,91m",right,"Aug 4, 2022",,€1.00m,FC St. Gallen 1879,257
Basil Stillhart,Centre-Back,"Mar 24, 1994 (29)","1,77m",right,"Sep 4, 2020",,€500k,FC St. Gallen 1879,257
Musah Nuhu,Centre-Back,"Jan 17, 1997 (26)","1,95m",right,"Jul 1, 2019",,€100k,FC St. Gallen 1879,257
Isaac Schmidt,Left-Back,"Dec 7, 1999 (23)","1,72m",right,"Jul 1, 2021",,€1.80m,FC St. Gallen 1879,257
Daouda Guindo,Left-Back,"Oct 14, 2002 (20)","1,83m",left,"Jul 1, 2022",,€1.20m,FC St. Gallen 1879,257
Michael Kempter ,Left-Back,"Jan 12, 1995 (28)","1,81m",left,"Jul 12, 2021",,€300k,FC St. Gallen 1879,257
Patrick Sutter,Right-Back,"Jan 18, 1999 (24)","1,72m",right,"Jul 1, 2021",,€400k,FC St. Gallen 1879,257
Alessandro Kräuchi,Right-Back,"Jun 3, 1998 (25)","1,76m",left,"Jul 1, 2017",,€200k,FC St. Gallen 1879,257
Jordi Quintillà,Defensive Midfield,"Oct 25, 1993 (29)","1,81m",left,"Jan 22, 2022",,€1.30m,FC St. Gallen 1879,257
David Jacovic,Defensive Midfield,"Feb 5, 2001 (22)","1,87m",right,"Jul 1, 2021",,€75k,FC St. Gallen 1879,257
Ricardo Alves,Central Midfield,"Dec 2, 2001 (21)","1,77m",left,"Aug 23, 2022",,€400k,FC St. Gallen 1879,257
Stefano Guidotti,Central Midfield,"Jun 16, 1999 (24)","1,85m",right,"Jul 8, 2022",,€200k,FC St. Gallen 1879,257
Edis Bytyqi,Central Midfield,"Feb 27, 2003 (20)","1,75m",right,, ,€100k,FC St. Gallen 1879,257
