Club,H/A,Timestamp,Event,Player Event,Remark Event,Player Assist,Player Out,Match ID
FC Zürich,Home,26',Direct Red Card,Nikola Katic,Serious foul,,,4244786
Grasshopper Club Zurich,Away,37',Yellow Card,Tim Meyer,Foul,,,4244786
FC Zürich,Home,90',Yellow Card,Jonathan Okita,Time wasting,,,4244786
BSC Young Boys,Away,8',Goal,Ebrima Colley,Right-footed shot,Filip Ugrinic,,4244787
FC Lugano,Home,45',Goal,Uran Bislimi,Right-footed shot,Milton Valenzuela,,4244787
BSC Young Boys,Away,52',Goal,Joel Mvuka,Right-footed shot,Cedric Itten,,4244787
FC Lugano,Home,56',Goal,Kreshnik Hajrizi,Header,Anto Grgic,,4244787
BSC Young Boys,Away,62',Goal,Filip Ugrinic,Right-footed shot,Joel Mvuka,,4244787
FC Lugano,Home,80',Goal,Zan Celar,Penalty,,,4244787
BSC Young Boys,Away,46',Substitution,Joel Mvuka,Tactical,,Ebrima Colley,4244787
FC Lugano,Home,67',Substitution,Jhon Espinoza,Tactical,,Albian Hajdari,4244787
FC Lugano,Home,78',Substitution,Roman Macek,Tactical,,Hicham Mahou,4244787
FC Lugano,Home,78',Substitution,Shkelqim Vladi,Tactical,,Mohamed Belhadj Mahmoud,4244787
BSC Young Boys,Away,82',Substitution,Noah Persson,Tactical,,Jaouen Hadjam,4244787
BSC Young Boys,Away,83',Substitution,Silvere Ganvoula,Tactical,,Joël Monteiro,4244787
BSC Young Boys,Away,83',Substitution,Darian Males,Tactical,,Lukasz Lakomy,4244787
FC Lugano,Home,85',Substitution,Mattia Bottani,Tactical,,Zan Celar,4244787
BSC Young Boys,Away,45',Yellow Card,David von Ballmoos,Unsporting behaviour,,,4244787
BSC Young Boys,Away,60',Yellow Card,Mohamed Camara,Foul,,,4244787
FC Lugano,Home,82',Yellow Card,Anto Grgic,Foul,,,4244787
FC Lugano,Home,87',Yellow Card,Jhon Espinoza,Diving,,,4244787
FC Luzern,Away,25',Goal,Adrian Grbic,Penalty,,,4244788
FC Winterthur,Home,64',Goal,Sayfallah Ltaief,Right-footed shot,Randy Schneider,,4244788
FC Winterthur,Home,83',Goal,Tobias Schättin,Header,Granit Lekaj,,4244788
FC Winterthur,Home,46',Substitution,Tobias Schättin,Tactical,,Souleymane Diaby,4244788
FC Winterthur,Home,46',Substitution,Boubacar Fofana,Tactical,,Basil Stillhart,4244788
FC Luzern,Away,66',Substitution,Kevin Spadanuda,Tactical,,Dario Ulrich,4244788
FC Luzern,Away,66',Substitution,Sofyan Chader,Tactical,,Teddy Okou,4244788
FC Winterthur,Home,70',Substitution,Silvan Sidler,Tactical,,Randy Schneider,4244788
FC Luzern,Away,73',Substitution,Jakub Kadák,Tactical,,Thibault Klidjé,4244788
FC Luzern,Away,73',Substitution,Leny Meyer,Tactical,,Martin Frydek,4244788
FC Winterthur,Home,83',Substitution,Thibault Corbaz,Tactical,,Alexandre Jankewitz,4244788
FC Winterthur,Home,89',Substitution,Samir Ramizi,Tactical,,Sayfallah Ltaief,4244788
FC Luzern,Away,89',Substitution,Lars Villiger,Tactical,,Denis Simani,4244788
FC Winterthur,Home,9',Yellow Card,Souleymane Diaby,Foul,,,4244788
FC Luzern,Away,50',Yellow Card,Severin Ottiger,Foul,,,4244788
FC Winterthur,Home,51',Yellow Card,Tobias Schättin,Foul,,,4244788
FC Luzern,Away,82',Yellow-Red Card,Severin Ottiger,Foul,,,4244788
FC Basel 1893,Home,63',Goal,Thierno Barry,Counter attack goal,Finn van Breemen,,4244789
FC Basel 1893,Home,53',Substitution,Taulant Xhaka,Tactical,,Anton Kade,4244789
FC St. Gallen 1879,Away,54',Substitution,Nikolaj Möller,Tactical,,Fabian Schubert,4244789
FC Basel 1893,Home,57',Substitution,Finn van Breemen,Tactical,,Fabian Frei,4244789
FC St. Gallen 1879,Away,74',Substitution,Felix Mambimbi,Tactical,,Isaac Schmidt,4244789
FC St. Gallen 1879,Away,74',Substitution,Corsin Konietzke,Tactical,,Patrick Sutter,4244789
FC St. Gallen 1879,Away,85',Substitution,Albin Krasniqi,Tactical,,Bastien Toma,4244789
FC St. Gallen 1879,Away,85',Substitution,Jason Parente,Tactical,,Chima Okoroji,4244789
FC Basel 1893,Home,86',Substitution,Kevin Rüegg,Tactical,,Benjamin Kololli,4244789
FC Basel 1893,Home,46',Direct Red Card,Renato Veiga,Serious foul,,,4244789
