Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number,Age,Season
Dereck Kutesa,Left Winger,1997-12-06,"1,77m",right,2022-08-30,,1.5,Servette FC,61,25,2022_2023
Patrick Pflücke,Left Winger,1996-11-30,"1,70m",left,2022-07-01,,0.9,Servette FC,61,26,2022_2023
Boubacar Fofana,Left Winger,1998-09-07,"1,82m",left,2020-10-01,,0.8,Servette FC,61,24,2022_2023
Hussayn Touati,Left Winger,2001-10-03,"1,76m",left,2023-04-25,,0.3,Servette FC,61,21,2022_2023
Miroslav Stevanovic,Right Winger,1990-07-29,"1,80m",right,2017-07-24,,2.0,Servette FC,61,32,2022_2023
Ronny Rodelin,Right Winger,1989-11-18,"1,93m",right,2021-07-06,,0.1,Servette FC,61,33,2022_2023
Chris Bedia,Centre-Forward,1996-03-05,"1,90m",left,2022-01-24,,2.0,Servette FC,61,27,2022_2023
Enzo Crivelli,Centre-Forward,1995-02-06,"1,84m",right,2022-08-30,,1.0,Servette FC,61,28,2022_2023
Dimitri Oberlin,Centre-Forward,1997-09-27,"1,82m",right,2021-07-28,,0.2,Servette FC,61,25,2022_2023
Alexandre Patrício,Centre-Forward,2004-02-17,"1,79m",right,2022-08-26,,0.1,Servette FC,61,19,2022_2023
Ilyes Chaïbi,Centre-Forward,1996-10-12,"1,76m",right,,,0.1,Servette FC,61,26,2022_2023
David von Ballmoos,Goalkeeper,1994-12-30,"1,92m",right,2013-07-01,,2.5,BSC Young Boys,452,28,2022_2023
Anthony Racioppi,Goalkeeper,1998-12-31,"1,89m",right,2022-01-10,,1.7,BSC Young Boys,452,24,2022_2023
Marvin Keller,Goalkeeper,2002-07-03,"1,89m",right,2023-02-13,,0.8,BSC Young Boys,452,20,2022_2023
Dario Marzino,Goalkeeper,1996-09-19,"1,84m",right,2022-07-08,,0.1,BSC Young Boys,452,26,2022_2023
Leandro Zbinden,Goalkeeper,2002-07-30,"1,89m",right,2021-07-01,,0.1,BSC Young Boys,452,20,2022_2023
Cédric Zesiger,Centre-Back,1998-06-24,"1,94m",left,2019-07-01,,5.5,BSC Young Boys,452,25,2022_2023
Mohamed Camara,Centre-Back,1997-08-28,"1,93m",right,2018-07-06,,4.2,BSC Young Boys,452,25,2022_2023
Aurèle Amenda,Centre-Back,2003-07-31,"1,97m",right,2024-01-25,,2.0,BSC Young Boys,452,19,2022_2023
Jordan Lefort,Centre-Back,1993-08-09,"1,84m",left,2020-08-13,,0.9,BSC Young Boys,452,29,2022_2023
Loris Benito ,Centre-Back,1992-01-07,"1,86m",left,2022-07-04,,0.5,BSC Young Boys,452,31,2022_2023
Joel Bichsel,Centre-Back,2002-03-04,"1,94m",left,2023-07-01,,0.2,BSC Young Boys,452,21,2022_2023
Fabian Lustenberger  ,Centre-Back,1988-05-02,"1,82m",right,2019-07-01,,0.2,BSC Young Boys,452,35,2022_2023
Ulisses Garcia ,Left-Back,1996-01-11,"1,82m",left,2018-07-01,,2.7,BSC Young Boys,452,27,2022_2023
Lewin Blum,Right-Back,2001-07-27,"1,81m",right,2021-07-01,,1.8,BSC Young Boys,452,21,2022_2023
Kevin Rüegg,Right-Back,1998-08-05,"1,73m",right,2022-07-16,,0.8,BSC Young Boys,452,24,2022_2023
Quentin Maceiras,Right-Back,1995-10-10,"1,80m",right,2020-08-11,,0.5,BSC Young Boys,452,27,2022_2023
Cheikh Niasse ,Defensive Midfield,2000-01-19,"1,88m",right,2022-02-03,,2.8,BSC Young Boys,452,23,2022_2023
Sandro Lauper,Defensive Midfield,1996-10-25,"1,85m",right,2018-07-01,,1.7,BSC Young Boys,452,26,2022_2023
Miguel Chaiwa,Defensive Midfield,2004-06-07,"1,79m",right,2022-07-01,,0.6,BSC Young Boys,452,19,2022_2023
Esteban Petignat,Defensive Midfield,2000-05-17,"1,77m",right,2019-07-01,,0.075,BSC Young Boys,452,23,2022_2023
Vincent Sierro,Central Midfield,1995-10-08,"1,85m",right,2019-07-01,,1.5,BSC Young Boys,452,27,2022_2023
Alexandre Jankewitz ,Central Midfield,2001-12-25,"1,85m",right,2021-07-12,,0.5,BSC Young Boys,452,21,2022_2023
Christian Fassnacht,Right Midfield,1993-11-11,"1,85m",right,2017-07-01,,2.5,BSC Young Boys,452,29,2022_2023
Donat Rrudhani,Right Midfield,1999-05-02,"1,88m",left,2022-07-01,,0.7,BSC Young Boys,452,24,2022_2023
Kastriot Imeri ,Left Midfield,2000-06-27,"1,78m",right,2022-08-16,,6.0,BSC Young Boys,452,23,2022_2023
Filip Ugrinic ,Left Midfield,1999-01-05,"1,84m",right,2022-07-01,,2.7,BSC Young Boys,452,24,2022_2023
Fabian Rieder,Attacking Midfield,2002-02-16,"1,79m",left,2021-01-14,,15.0,BSC Young Boys,452,21,2022_2023
Théo Golliard,Attacking Midfield,2002-09-27,"1,74m",right,2023-07-01,,0.2,BSC Young Boys,452,20,2022_2023
Nicolas Moumi Ngamaleu,Left Winger,1994-07-09,"1,81m",right,2017-08-26,,3.0,BSC Young Boys,452,28,2022_2023
Felix Mambimbi ,Left Winger,2001-01-18,"1,71m",right,2019-07-01,,2.5,BSC Young Boys,452,22,2022_2023
Meschack Elia,Centre-Forward,1997-08-06,"1,73m",right,2020-02-14,,5.0,BSC Young Boys,452,25,2022_2023
Cedric Itten,Centre-Forward,1996-12-27,"1,90m",right,2022-07-01,,4.0,BSC Young Boys,452,26,2022_2023
Jean-Pierre Nsame,Centre-Forward,1993-05-01,"1,88m",right,2017-07-19,,3.5,BSC Young Boys,452,30,2022_2023
Wilfried Kanga,Centre-Forward,1998-02-21,"1,89m",right,2021-07-08,,3.0,BSC Young Boys,452,25,2022_2023
Joël Monteiro,Centre-Forward,1999-08-05,"1,91m",right,2021-03-01,,0.7,BSC Young Boys,452,23,2022_2023
Yannick Toure,Centre-Forward,2000-09-29,"1,84m",right,2021-08-16,,0.3,BSC Young Boys,452,22,2022_2023
Jonathan De Donno,Centre-Forward,2002-02-16,"1,93m", ,,,0.1,BSC Young Boys,452,21,2022_2023
Amir Saipi,Goalkeeper,2000-07-08,"1,94m",right,2021-09-10,,1.3,FC Lugano,2790,22,2022_2023
Sebastian Osigwe,Goalkeeper,1994-03-26,"1,85m",right,2020-08-20,,0.4,FC Lugano,2790,29,2022_2023
Attilio Morosoli ,Goalkeeper,2004-12-24,"1,82m",right,,,0.1,FC Lugano,2790,18,2022_2023
Diego Mina,Goalkeeper,2005-08-12,"1,85m", ,,,0.1,FC Lugano,2790,17,2022_2023
Serif Berbic,Goalkeeper,2001-11-25,"1,94m",right,2022-08-04,,0.1,FC Lugano,2790,21,2022_2023
Lukas Mai,Centre-Back,2000-03-31,"1,88m",right,2022-07-01,,2.0,FC Lugano,2790,23,2022_2023
Albian Hajdari ,Centre-Back,2003-05-18,"1,89m",left,2023-04-01,,1.0,FC Lugano,2790,20,2022_2023
Kreshnik Hajrizi ,Centre-Back,1999-05-28,"1,85m",right,2021-07-01,,0.5,FC Lugano,2790,24,2022_2023
Fabio Daprelà,Centre-Back,1991-02-19,"1,83m",left,2017-08-31,,0.2,FC Lugano,2790,32,2022_2023
Reto Ziegler,Centre-Back,1986-01-16,"1,83m",left,2021-02-25,,0.1,FC Lugano,2790,37,2022_2023
Noah De Queiroz,Centre-Back,2002-12-10,"1,82m",right,,,0.1,FC Lugano,2790,20,2022_2023
Leonid Srdic,Centre-Back,2002-01-23,"1,85m",right,2021-07-27,,0.1,FC Lugano,2790,21,2022_2023
Milton Valenzuela,Left-Back,1998-08-13,"1,70m",left,2022-01-30,,1.7,FC Lugano,2790,24,2022_2023
Fabian Stöber,Left-Back,2002-02-27,"1,74m",left,,,0.1,FC Lugano,2790,21,2022_2023
Luca Molino,Left-Back,2003-10-07,"1,82m",left,,,0.1,FC Lugano,2790,19,2022_2023
Mickaël Facchinetti,Left-Back,1991-02-15,"1,83m",left,2020-10-12,,0.1,FC Lugano,2790,32,2022_2023
Jhon Espinoza,Right-Back,1999-02-24,"1,80m",right,2023-01-01,,0.8,FC Lugano,2790,24,2022_2023
Allan Arigoni,Right-Back,1998-11-04,"1,84m",right,2022-07-01,,0.8,FC Lugano,2790,24,2022_2023
Matteo Lape,Right-Back,2003-10-15,-,right,,,0.01,FC Lugano,2790,19,2022_2023
Ousmane Doumbia,Defensive Midfield,1992-05-21,"1,74m",right,2022-07-01,,0.9,FC Lugano,2790,31,2022_2023
Mohamed Belhadj Mahmoud,Defensive Midfield,2000-04-24,"1,79m",right,2021-08-25,,0.5,FC Lugano,2790,23,2022_2023
Adrian Durrer,Defensive Midfield,2001-07-13,"1,88m",right,2022-01-06,,0.25,FC Lugano,2790,21,2022_2023
Johan Nkama,Defensive Midfield,1998-01-07,"1,89m",left,2017-07-01,,0.1,FC Lugano,2790,25,2022_2023
Uran Bislimi,Central Midfield,1999-09-25,"1,83m",right,2022-07-19,,0.8,FC Lugano,2790,23,2022_2023
Roman Macek,Central Midfield,1997-04-18,"1,88m",right,2019-01-27,,0.6,FC Lugano,2790,26,2022_2023
Mohamad Alshikh,Central Midfield,2001-01-01,"1,77m",right,,,0.15,FC Lugano,2790,22,2022_2023
Jonathan Sabbatini ,Central Midfield,1988-03-31,"1,75m",right,2012-08-27,,0.1,FC Lugano,2790,35,2022_2023
Andrea Maccoppi,Central Midfield,1987-01-22,"1,78m",right,,,0.025,FC Lugano,2790,36,2022_2023
Michel De Jesus Sousa,Right Midfield,2001-03-22,"1,76m",right,,,0.1,FC Lugano,2790,22,2022_2023
Maren Haile-Selassie,Left Midfield,1999-03-13,"1,76m",right,2022-01-01,,0.6,FC Lugano,2790,24,2022_2023
Mattia Bottani,Attacking Midfield,1991-05-24,"1,70m",right,2017-08-18,,0.4,FC Lugano,2790,32,2022_2023
Ignacio Aliseda,Left Winger,2000-03-14,"1,68m",left,2022-01-01,,3.5,FC Lugano,2790,23,2022_2023
Renato Steffen,Right Winger,1991-11-03,"1,70m",left,2022-08-30,,1.0,FC Lugano,2790,31,2022_2023
Hicham Mahou,Right Winger,1999-07-02,"1,79m",right,2022-07-04,,0.7,FC Lugano,2790,23,2022_2023
Zan Celar,Centre-Forward,1999-03-14,"1,86m",right,2021-08-27,,4.0,FC Lugano,2790,24,2022_2023
Mohamed Amoura,Centre-Forward,2000-05-09,"1,70m",right,2021-08-29,,2.0,FC Lugano,2790,23,2022_2023
Boris Babic,Centre-Forward,1997-11-10,"1,80m",right,2022-07-05,,0.3,FC Lugano,2790,25,2022_2023
Johann Angstmann,Centre-Forward,2003-01-16,"1,87m",right,,,0.1,FC Lugano,2790,20,2022_2023
Alessandro Casciato,Centre-Forward,2000-05-30,"1,87m", ,2022-02-11,,0.05,FC Lugano,2790,23,2022_2023
Simone Musumeci,Centre-Forward,2001-11-03,"1,83m", ,,,0.025,FC Lugano,2790,21,2022_2023
Marius Müller,Goalkeeper,1993-07-12,"1,92m",right,2019-07-05,,1.0,FC Luzern,434,29,2022_2023
Pascal Loretz,Goalkeeper,2003-06-01,"1,91m",right,2021-07-01,,0.8,FC Luzern,434,20,2022_2023
Vaso Vasic,Goalkeeper,1990-04-26,"1,87m",right,2021-07-01,,0.2,FC Luzern,434,33,2022_2023
Diego Heller ,Goalkeeper,2004-11-20,"1,80m",right,2023-07-20,,0.15,FC Luzern,434,18,2022_2023
Marco Burch,Centre-Back,2000-10-19,"1,86m",right,2019-07-01,,4.0,FC Luzern,434,22,2022_2023
Ismajl Beka ,Centre-Back,1999-10-31,"1,97m",left,2022-08-31,,0.8,FC Luzern,434,23,2022_2023
Luca Jaquez,Centre-Back,2003-06-02,"1,87m",right,2022-01-27,,0.6,FC Luzern,434,20,2022_2023
Mauricio Willimann,Centre-Back,2003-01-16,"1,83m",right,2023-07-01,,0.2,FC Luzern,434,20,2022_2023
Denis Simani,Centre-Back,1991-10-13,"1,87m",left,2022-01-05,,0.2,FC Luzern,434,31,2022_2023
Thoma Monney,Centre-Back,2002-02-26,"1,88m", ,2021-07-01,,0.15,FC Luzern,434,21,2022_2023
Martin Frydek,Left-Back,1992-03-24,"1,79m",left,2020-10-12,,0.5,FC Luzern,434,31,2022_2023
Leny Meyer,Left-Back,2004-07-01,"1,82m",left,2022-07-01,,0.2,FC Luzern,434,18,2022_2023
Rúben Dantas Fernandes,Left-Back,2003-05-19,"1,80m",left,2023-07-01,,0.125,FC Luzern,434,20,2022_2023
Mohamed Dräger,Right-Back,1996-06-25,"1,81m",right,2022-02-02,,0.9,FC Luzern,434,27,2022_2023
Severin Ottiger,Right-Back,2003-04-20,"1,83m",right,2021-07-01,,0.8,FC Luzern,434,20,2022_2023
Ardon Jashari ,Defensive Midfield,2002-07-30,"1,81m",left,2022-01-27,,7.5,FC Luzern,434,20,2022_2023
Mamady Diambou,Defensive Midfield,2002-11-11,"1,76m",right,2023-01-04,,1.0,FC Luzern,434,20,2022_2023
Nicky Beloko,Central Midfield,2000-02-16,"1,84m",right,2022-07-06,,2.4,FC Luzern,434,23,2022_2023
Noah Rupp,Central Midfield,2003-08-13,"1,84m",left,2021-10-08,,0.4,FC Luzern,434,19,2022_2023
Mihailo Stevanovic,Central Midfield,2002-01-04,"1,86m",right,,,0.3,FC Luzern,434,21,2022_2023
Lorik Emini,Central Midfield,1999-08-29,"1,76m",right,2020-01-24,,0.3,FC Luzern,434,23,2022_2023
Christian Gentner,Central Midfield,1985-08-14,"1,89m",right,2021-07-01,,0.0,FC Luzern,434,37,2022_2023
Pius Dorn,Right Midfield,1996-09-24,"1,79m",right,2022-07-01,,1.2,FC Luzern,434,26,2022_2023
Pascal Schürpf,Left Midfield,1989-07-15,"1,90m",right,2017-02-28,,0.2,FC Luzern,434,33,2022_2023
Max Meyer,Attacking Midfield,1995-09-18,"1,73m",right,2022-08-24,,3.0,FC Luzern,434,27,2022_2023
Jakub Kadák,Attacking Midfield,2000-12-14,"1,77m",right,2022-07-19,,0.6,FC Luzern,434,22,2022_2023
Samuel Alabi ,Attacking Midfield,2000-05-06,"1,70m",right,2020-09-24,,0.2,FC Luzern,434,23,2022_2023
Samuele Campo,Attacking Midfield,1995-07-06,"1,77m",left,2021-07-02,,0.2,FC Luzern,434,27,2022_2023
Iwan Hegglin,Attacking Midfield,2002-06-26,"1,84m",right,,,0.1,FC Luzern,434,21,2022_2023
Sofyan Chader ,Left Winger,2000-05-12,"1,78m",right,2022-08-11,,0.8,FC Luzern,434,23,2022_2023
Ibrahima Ndiaye,Left Winger,1998-07-06,"1,76m",left,2019-08-03,,0.5,FC Luzern,434,24,2022_2023
Luuk Breedijk,Left Winger,2004-02-20,"1,85m",right,2023-01-26,,0.4,FC Luzern,434,19,2022_2023
Varol Tasar ,Right Winger,1996-10-04,"1,74m",left,2021-07-01,,0.3,FC Luzern,434,26,2022_2023
Joaquín Ardaiz  ,Centre-Forward,1999-01-11,"1,86m",left,2022-07-01,,0.7,FC Luzern,434,24,2022_2023
Asumah Abubakar,Centre-Forward,1997-05-10,"1,83m",right,2022-01-14,,0.4,FC Luzern,434,26,2022_2023
Lars Villiger,Centre-Forward,2003-04-29,"1,90m",right,2023-04-01,,0.4,FC Luzern,434,20,2022_2023
Thibault Klidjé,Centre-Forward,2001-07-10,"1,70m",right,2022-08-31,,0.3,FC Luzern,434,21,2022_2023
Benjamin Kimpioka,Centre-Forward,2000-02-21,"1,83m",right,2023-01-23,,0.3,FC Luzern,434,23,2022_2023
Dejan Sorgic,Centre-Forward,1989-09-15,"1,77m",right,2020-10-01,,0.2,FC Luzern,434,33,2022_2023
Nando Toggenburger,Centre-Forward,2004-03-17,"1,80m",right,2022-07-13,,0.2,FC Luzern,434,19,2022_2023
Lawrence Ati Zigi,Goalkeeper,1996-11-29,"1,88m",right,2020-01-24,,2.5,FC St. Gallen 1879,257,26,2022_2023
Lukas Watkowiak,Goalkeeper,1996-03-06,"1,97m",right,2020-08-20,,0.2,FC St. Gallen 1879,257,27,2022_2023
Bela Dumrath,Goalkeeper,2003-11-18,"1,98m",right,2022-07-01,,0.1,FC St. Gallen 1879,257,19,2022_2023
Leonidas Stergiou,Centre-Back,2002-03-03,"1,81m",right,2019-02-06,,3.0,FC St. Gallen 1879,257,21,2022_2023
Matej Maglica,Centre-Back,1998-09-25,"1,98m",left,2022-07-01,,1.0,FC St. Gallen 1879,257,24,2022_2023
Albert Vallci,Centre-Back,1995-07-02,"1,91m",right,2022-08-04,,1.0,FC St. Gallen 1879,257,27,2022_2023
Basil Stillhart,Centre-Back,1994-03-24,"1,77m",right,2020-09-04,,0.5,FC St. Gallen 1879,257,29,2022_2023
Musah Nuhu,Centre-Back,1997-01-17,"1,95m",right,2019-07-01,,0.1,FC St. Gallen 1879,257,26,2022_2023
Isaac Schmidt,Left-Back,1999-12-07,"1,72m",right,2021-07-01,,1.8,FC St. Gallen 1879,257,23,2022_2023
Daouda Guindo,Left-Back,2002-10-14,"1,83m",left,2022-07-01,,1.2,FC St. Gallen 1879,257,20,2022_2023
Michael Kempter ,Left-Back,1995-01-12,"1,81m",left,2021-07-12,,0.3,FC St. Gallen 1879,257,28,2022_2023
Patrick Sutter,Right-Back,1999-01-18,"1,72m",right,2021-07-01,,0.4,FC St. Gallen 1879,257,24,2022_2023
Alessandro Kräuchi,Right-Back,1998-06-03,"1,76m",left,2017-07-01,,0.2,FC St. Gallen 1879,257,25,2022_2023
Jordi Quintillà,Defensive Midfield,1993-10-25,"1,81m",left,2022-01-22,,1.3,FC St. Gallen 1879,257,29,2022_2023
David Jacovic,Defensive Midfield,2001-02-05,"1,87m",right,2021-07-01,,0.075,FC St. Gallen 1879,257,22,2022_2023
Ricardo Alves,Central Midfield,2001-12-02,"1,77m",left,2022-08-23,,0.4,FC St. Gallen 1879,257,21,2022_2023
Stefano Guidotti,Central Midfield,1999-06-16,"1,85m",right,2022-07-08,,0.2,FC St. Gallen 1879,257,24,2022_2023
Edis Bytyqi,Central Midfield,2003-02-27,"1,75m",right,,,0.1,FC St. Gallen 1879,257,20,2022_2023
Lukas Görtler ,Right Midfield,1994-06-15,"1,86m",right,2019-07-08,,2.0,FC St. Gallen 1879,257,29,2022_2023
Christian Witzig,Left Midfield,2001-01-09,"1,78m",right,2021-07-01,,0.8,FC St. Gallen 1879,257,22,2022_2023
Víctor Ruiz,Attacking Midfield,1993-11-02,"1,73m",right,2024-02-14,,0.7,FC St. Gallen 1879,257,29,2022_2023
Randy Schneider,Attacking Midfield,2001-08-27,"1,70m",right,2022-07-01,,0.4,FC St. Gallen 1879,257,21,2022_2023
Grégory Karlen,Attacking Midfield,1995-01-30,"1,87m",right,2022-08-03,,0.3,FC St. Gallen 1879,257,28,2022_2023
Leonhard Münst,Attacking Midfield,2002-01-22,"1,83m",right,2021-07-13,,0.1,FC St. Gallen 1879,257,21,2022_2023
Élie Youan,Left Winger,1999-04-07,"1,83m",right,2021-07-01,,1.0,FC St. Gallen 1879,257,24,2022_2023
Julian Von Moos,Right Winger,2001-04-01,"1,81m",left,2022-01-03,,1.7,FC St. Gallen 1879,257,22,2022_2023
Chadrac Akolo,Right Winger,1995-04-01,"1,72m",right,2022-07-03,,0.8,FC St. Gallen 1879,257,28,2022_2023
Leon Dajaku,Second Striker,2001-04-12,"1,80m",right,2023-01-26,,0.8,FC St. Gallen 1879,257,22,2022_2023
Willem Geubbels,Centre-Forward,2001-08-16,"1,85m",right,2023-01-23,,1.8,FC St. Gallen 1879,257,21,2022_2023
