Name,Position,Birthdate,Height,Foot,ContractBegin,ContractEnd,Value,Club,Club_Number,Age,Season
Alexis Antunes,Attacking Midfield,2000-07-31,"1,81m",right,"Jul 1, 2017","Jun 30, 2026",2.3,Servette FC,61,23,2023_2024
Dereck Kutesa,Left Winger,1997-12-06,"1,77m",right,"Aug 30, 2022","Jun 30, 2025",2.0,Servette FC,61,26,2023_2024
Tiemoko Ouattara,Left Winger,2005-05-25,"1,78m",right,"Jul 1, 2023","Jun 30, 2027",0.3,Servette FC,61,18,2023_2024
Miroslav Stevanovic,Right Winger,1990-07-29,"1,80m",right,"Jul 24, 2017","Jun 30, 2025",0.8,Servette FC,61,33,2023_2024
Alexander Lyng,Right Winger,2004-11-26,"1,77m",right,"Jul 1, 2023","Jun 30, 2026",0.5,Servette FC,61,19,2023_2024
Takuma Nishimura,Second Striker,1996-10-22,"1,78m",right,"Feb 10, 2024","Jun 30, 2024",1.2,Servette FC,61,27,2023_2024
Jérémy Guillemenot,Centre-Forward,1998-01-06,"1,84m",right,"Jul 1, 2023","Jun 30, 2026",1.0,Servette FC,61,26,2023_2024
Enzo Crivelli,Centre-Forward,1995-02-06,"1,84m",right,"Aug 30, 2022","Jun 30, 2025",0.9,Servette FC,61,29,2023_2024
Bassirou N'Diaye ,Centre-Forward,2002-02-15,"1,81m",right,"Feb 2, 2024","Jun 30, 2024",0.3,Servette FC,61,22,2023_2024
Alexandre Patrício,Centre-Forward,2004-02-17,"1,79m",right,"Aug 26, 2022","Jun 30, 2025",0.1,Servette FC,61,20,2023_2024
Anthony Racioppi,Goalkeeper,1998-12-31,"1,89m",right,"Jan 10, 2022","Jun 30, 2025",1.7,BSC Young Boys,452,25,2023_2024
David von Ballmoos,Goalkeeper,1994-12-30,"1,92m",right,"Jul 1, 2013","Jun 30, 2025",1.5,BSC Young Boys,452,29,2023_2024
Dario Marzino,Goalkeeper,1996-09-19,"1,84m",right,"Jul 8, 2022","Jun 30, 2024",0.1,BSC Young Boys,452,27,2023_2024
Aurèle Amenda,Centre-Back,2003-07-31,"1,97m",right,"Jan 25, 2024","Jun 30, 2024",8.0,BSC Young Boys,452,20,2023_2024
Mohamed Camara,Centre-Back,1997-08-28,"1,93m",right,"Jul 6, 2018","Jun 30, 2026",3.5,BSC Young Boys,452,26,2023_2024
Anel Husic,Centre-Back,2001-03-01,"1,86m",left,"Feb 15, 2024","Jun 30, 2027",0.8,BSC Young Boys,452,23,2023_2024
Loris Benito ,Centre-Back,1992-01-07,"1,86m",left,"Jul 4, 2022","Jun 30, 2025",0.2,BSC Young Boys,452,32,2023_2024
Fabian Lustenberger  ,Centre-Back,1988-05-02,"1,82m",right,"Jul 1, 2019","Jun 30, 2024",0.1,BSC Young Boys,452,35,2023_2024
Jaouen Hadjam,Left-Back,2003-03-26,"1,85m",left,"Jan 19, 2024","Jun 30, 2028",1.5,BSC Young Boys,452,21,2023_2024
Noah Persson,Left-Back,2003-07-16,"1,84m",left,"Feb 7, 2023","Jun 30, 2027",1.2,BSC Young Boys,452,20,2023_2024
Lewin Blum,Right-Back,2001-07-27,"1,81m",right,"Jul 1, 2021","Jun 30, 2027",2.5,BSC Young Boys,452,22,2023_2024
Saidy Janko,Right-Back,1995-10-22,"1,81m",right,"Jul 1, 2023","Jun 30, 2027",0.8,BSC Young Boys,452,28,2023_2024
Cheikh Niasse,Defensive Midfield,2000-01-19,"1,88m",right,"Feb 3, 2022","Jun 30, 2026",3.5,BSC Young Boys,452,24,2023_2024
Sandro Lauper,Defensive Midfield,1996-10-25,"1,85m",right,"Jul 1, 2018","Jun 30, 2025",1.0,BSC Young Boys,452,27,2023_2024
Lukasz Lakomy,Central Midfield,2001-01-18,"1,81m",left,"Jul 1, 2023","Jun 30, 2028",2.0,BSC Young Boys,452,23,2023_2024
Darian Males,Right Midfield,2001-05-03,"1,88m",left,"Jul 19, 2023","Jun 30, 2027",3.7,BSC Young Boys,452,22,2023_2024
Filip Ugrinic ,Left Midfield,1999-01-05,"1,84m",right,"Jul 1, 2022","Jun 30, 2026",5.5,BSC Young Boys,452,25,2023_2024
Kastriot Imeri ,Left Midfield,2000-06-27,"1,78m",right,"Aug 16, 2022","Jun 30, 2026",4.0,BSC Young Boys,452,23,2023_2024
Joel Mvuka,Right Winger,2002-11-12,"1,76m",right,"Jan 20, 2024","Jun 30, 2024",4.0,BSC Young Boys,452,21,2023_2024
Ebrima Colley,Right Winger,2000-02-01,"1,80m",right,"Sep 1, 2023","Jun 30, 2024",2.6,BSC Young Boys,452,24,2023_2024
Malik Deme,Right Winger,2005-03-16,"1,82m",right,"Jul 1, 2023","Jun 30, 2027",0.4,BSC Young Boys,452,19,2023_2024
Meschack Elia,Centre-Forward,1997-08-06,"1,73m",right,"Feb 14, 2020","Jun 30, 2026",8.0,BSC Young Boys,452,26,2023_2024
Cedric Itten,Centre-Forward,1996-12-27,"1,90m",right,"Jul 1, 2022","Jun 30, 2027",3.0,BSC Young Boys,452,27,2023_2024
Joël Monteiro,Centre-Forward,1999-08-05,"1,91m",right,"Mar 1, 2021","Jun 30, 2026",3.0,BSC Young Boys,452,24,2023_2024
Silvere Ganvoula,Centre-Forward,1996-06-29,"1,91m",right,"Jul 1, 2023","Jun 30, 2026",0.6,BSC Young Boys,452,27,2023_2024
Amir Saipi,Goalkeeper,2000-07-08,"1,94m",right,"Sep 10, 2021","Jun 30, 2026",2.5,FC Lugano,2790,23,2023_2024
Serif Berbic,Goalkeeper,2001-11-25,"1,94m",right,"Aug 4, 2022","Jun 30, 2026",0.1,FC Lugano,2790,22,2023_2024
Fotis Pseftis,Goalkeeper,2003-01-19,"1,91m",right,"Jul 11, 2023","Jun 30, 2025",0.1,FC Lugano,2790,21,2023_2024
Sebastian Osigwe,Goalkeeper,1994-03-26,"1,85m",right,"Aug 20, 2020","Jun 30, 2026",0.1,FC Lugano,2790,30,2023_2024
Albian Hajdari,Centre-Back,2003-05-18,"1,89m",left,"Apr 1, 2023","Jun 30, 2027",2.5,FC Lugano,2790,20,2023_2024
Lukas Mai,Centre-Back,2000-03-31,"1,88m",right,"Jul 1, 2022","Jun 30, 2025",2.5,FC Lugano,2790,24,2023_2024
Kreshnik Hajrizi ,Centre-Back,1999-05-28,"1,85m",right,"Jul 1, 2021","Jun 30, 2024",1.2,FC Lugano,2790,24,2023_2024
Ayman El Wafi,Centre-Back,2004-05-11,"1,89m",right,"Jul 1, 2023","Jun 30, 2027",1.0,FC Lugano,2790,19,2023_2024
Leonid Srdic,Centre-Back,2002-01-23,"1,85m",right,"Jul 27, 2021","Jun 30, 2024",0.1,FC Lugano,2790,22,2023_2024
Noah De Queiroz,Centre-Back,2002-12-10,"1,82m",right,,"Jun 30, 2024",0.1,FC Lugano,2790,21,2023_2024
Martim Marques,Left-Back,2004-02-11,"1,73m",left,"Jul 1, 2023","Jun 30, 2027",1.5,FC Lugano,2790,20,2023_2024
Milton Valenzuela ,Left-Back,1998-08-13,"1,70m",left,"Jan 30, 2022","Jun 30, 2025",1.2,FC Lugano,2790,25,2023_2024
Jhon Espinoza,Right-Back,1999-02-24,"1,80m",right,"Jan 1, 2023","Jun 30, 2024",0.8,FC Lugano,2790,25,2023_2024
Justin Reynolds,Right-Back,2004-04-08,"1,78m",right,"Mar 12, 2024","Jun 30, 2024",0.1,FC Lugano,2790,19,2023_2024
Mohamed Belhadj Mahmoud ,Defensive Midfield,2000-04-24,"1,79m",right,"Aug 25, 2021","Jun 30, 2026",2.0,FC Lugano,2790,23,2023_2024
Ousmane Doumbia,Defensive Midfield,1992-05-21,"1,74m",right,"Jul 1, 2022","Jun 30, 2026",0.8,FC Lugano,2790,31,2023_2024
Ilija Maslarov,Defensive Midfield,2007-01-02,"1,81m",right,,"Jun 30, 2024",0.2,FC Lugano,2790,17,2023_2024
Johan Nkama,Defensive Midfield,1998-01-07,"1,89m",left,"Jul 1, 2017","Jun 30, 2025",0.1,FC Lugano,2790,26,2023_2024
Uran Bislimi ,Central Midfield,1999-09-25,"1,83m",right,"Jul 19, 2022","Jun 30, 2026",2.2,FC Lugano,2790,24,2023_2024
Roman Macek,Central Midfield,1997-04-18,"1,88m",right,"Jan 27, 2019","Jun 30, 2025",0.8,FC Lugano,2790,26,2023_2024
Anto Grgic,Central Midfield,1996-11-28,"1,89m",right,"Jul 1, 2023","Jun 30, 2027",0.8,FC Lugano,2790,27,2023_2024
Jonathan Sabbatini ,Central Midfield,1988-03-31,"1,75m",right,"Aug 27, 2012","Jun 30, 2024",0.1,FC Lugano,2790,36,2023_2024
Abel Marc,Central Midfield,2001-04-19,"1,72m",right,"Jul 15, 2021","Jun 30, 2024",0.1,FC Lugano,2790,22,2023_2024
Gianluca Pizzagalli,Right Midfield,2003-03-10,"1,77m",right,,"Jun 30, 2024",0.1,FC Lugano,2790,21,2023_2024
Yanis Cimignani,Left Midfield,2002-01-22,"1,76m",left,"Jul 1, 2023","Jun 30, 2027",2.3,FC Lugano,2790,22,2023_2024
Mattia Bottani ,Attacking Midfield,1991-05-24,"1,70m",right,"Aug 18, 2017","Jun 30, 2025",0.3,FC Lugano,2790,32,2023_2024
Ignacio Aliseda,Left Winger,2000-03-14,"1,68m",left,"Jan 1, 2022","Jun 30, 2025",3.0,FC Lugano,2790,24,2023_2024
Renato Steffen ,Right Winger,1991-11-03,"1,70m",left,"Aug 30, 2022","Jun 30, 2025",1.0,FC Lugano,2790,32,2023_2024
Hicham Mahou,Right Winger,1999-07-02,"1,79m",right,"Jul 4, 2022","Jun 30, 2026",0.7,FC Lugano,2790,24,2023_2024
Zan Celar,Centre-Forward,1999-03-14,"1,86m",right,"Aug 27, 2021","Jun 30, 2025",4.0,FC Lugano,2790,25,2023_2024
Shkelqim Vladi,Centre-Forward,2000-09-21,"1,86m",right,"Jul 1, 2023","Jun 30, 2027",1.6,FC Lugano,2790,23,2023_2024
Kacper Przybylko,Centre-Forward,1993-03-25,"1,92m",right,"Feb 15, 2024","Jun 30, 2025",1.2,FC Lugano,2790,31,2023_2024
Boris Babic,Centre-Forward,1997-11-10,"1,80m",right,"Jul 5, 2022","Jun 30, 2025",0.3,FC Lugano,2790,26,2023_2024
Giovanni D'Agostino,Centre-Forward,2004-08-27,-,right,"Jul 1, 2023","Jun 30, 2024",0.1,FC Lugano,2790,19,2023_2024
Karlo Letica,Goalkeeper,1997-02-11,"2,01m",right,"Aug 24, 2023","Jun 30, 2025",0.8,FC Lausanne-Sport,527,27,2023_2024
Thomas Castella,Goalkeeper,1993-06-30,"1,85m",right,"Jul 1, 2012","Jun 30, 2028",0.2,FC Lausanne-Sport,527,30,2023_2024
Raphael Spiegel,Goalkeeper,1992-12-19,"1,97m",right,"Jul 1, 2022",-,0.2,FC Lausanne-Sport,527,31,2023_2024
Gábor Szalai,Centre-Back,2000-06-09,"1,91m",left,"Jan 7, 2024","Jun 30, 2028",1.0,FC Lausanne-Sport,527,23,2023_2024
Noë Dussenne,Centre-Back,1992-04-07,"1,92m",right,"Jul 1, 2023","Jun 30, 2026",0.6,FC Lausanne-Sport,527,31,2023_2024
Berkay Dabanli,Centre-Back,1990-06-27,"1,90m",left,"Jul 5, 2022","Jun 30, 2024",0.2,FC Lausanne-Sport,527,33,2023_2024
Mickaël Nanizayamo,Centre-Back,1998-05-08,"1,91m",left,"Jul 1, 2018","Jun 30, 2024",0.2,FC Lausanne-Sport,527,25,2023_2024
Simone Grippo,Centre-Back,1988-12-12,"1,88m",right,"Aug 29, 2021","Jun 30, 2024",0.1,FC Lausanne-Sport,527,35,2023_2024
Morgan Poaty,Left-Back,1997-07-15,"1,77m",left,"Aug 22, 2023",-,0.5,FC Lausanne-Sport,527,26,2023_2024
Chris Kablan,Left-Back,1994-11-30,"1,76m",right,"Jan 24, 2023","Jun 30, 2024",0.2,FC Lausanne-Sport,527,29,2023_2024
Haithem Loucif,Right-Back,1996-07-08,"1,77m",right,"Feb 8, 2024","Jun 30, 2024",0.6,FC Lausanne-Sport,527,27,2023_2024
Raoul Giger,Right-Back,1997-10-29,"1,80m",right,"Jul 1, 2022","Jun 30, 2025",0.5,FC Lausanne-Sport,527,26,2023_2024
Jamie Roche,Defensive Midfield,2001-04-05,"1,91m",left,"Jul 25, 2023","Jun 30, 2027",1.5,FC Lausanne-Sport,527,23,2023_2024
Olivier Custodio ,Defensive Midfield,1995-02-10,"1,80m",right,"Jul 1, 2022",-,0.4,FC Lausanne-Sport,527,29,2023_2024
Maxen Kapo,Defensive Midfield,2001-01-19,"1,92m",right,"Jul 1, 2021","Jun 30, 2025",0.1,FC Lausanne-Sport,527,23,2023_2024
Antoine Bernede,Central Midfield,1999-05-26,"1,78m",right,"Jul 1, 2023","Jun 30, 2026",2.8,FC Lausanne-Sport,527,24,2023_2024
Alvyn Sanches,Central Midfield,2003-02-12,"1,80m",left,"Nov 13, 2020","Jun 30, 2026",2.5,FC Lausanne-Sport,527,21,2023_2024
Stjepan Kukuruzovic,Central Midfield,1989-06-07,"1,80m",left,"Aug 29, 2018","Jun 30, 2024",0.1,FC Lausanne-Sport,527,34,2023_2024
Donat Rrudhani,Right Midfield,1999-05-02,"1,88m",left,"Feb 6, 2024","Jun 30, 2024",0.6,FC Lausanne-Sport,527,24,2023_2024
Simone Pafundi,Attacking Midfield,2006-03-14,"1,66m",left,"Jan 25, 2024","Dec 31, 2024",10.0,FC Lausanne-Sport,527,18,2023_2024
Rares Ilie,Left Winger,2003-04-19,"1,85m",right,"Jul 1, 2023","Jun 30, 2024",3.3,FC Lausanne-Sport,527,20,2023_2024
Trae Coyle ,Left Winger,2001-01-11,"1,79m",right,"Jul 1, 2021","Jun 30, 2024",0.4,FC Lausanne-Sport,527,23,2023_2024
Samuel Kalu,Right Winger,1997-08-26,"1,77m",right,"Sep 7, 2023","Jun 30, 2024",2.5,FC Lausanne-Sport,527,26,2023_2024
Fousseni Diabaté,Right Winger,1995-10-18,"1,78m",left,"Sep 7, 2023","Jun 30, 2025",1.5,FC Lausanne-Sport,527,28,2023_2024
Kaly Sène,Centre-Forward,2001-05-28,"1,80m",right,"Jul 1, 2023","Jun 30, 2026",2.5,FC Lausanne-Sport,527,22,2023_2024
Brighton Labeau,Centre-Forward,1996-01-01,"1,83m",right,"Jul 1, 2022",-,0.7,FC Lausanne-Sport,527,28,2023_2024
Seydou Traoré,Centre-Forward,2004-12-05,"1,85m",right,"Jul 1, 2023","Jun 30, 2027",0.1,FC Lausanne-Sport,527,19,2023_2024
Pascal Loretz,Goalkeeper,2003-06-01,"1,91m",right,"Jul 1, 2021","Jun 30, 2027",4.0,FC Luzern,434,20,2023_2024
Diego Heller ,Goalkeeper,2004-11-20,"1,80m",right,"Jul 20, 2023","Jun 30, 2026",0.1,FC Luzern,434,19,2023_2024
Vaso Vasic,Goalkeeper,1990-04-26,"1,87m",right,"Jul 1, 2021","Jun 30, 2025",0.1,FC Luzern,434,33,2023_2024
Luca Jaquez,Centre-Back,2003-06-02,"1,87m",right,"Jan 27, 2022","Jun 30, 2026",1.2,FC Luzern,434,20,2023_2024
Ismajl Beka ,Centre-Back,1999-10-31,"1,97m",left,"Aug 31, 2022","Jun 30, 2026",1.1,FC Luzern,434,24,2023_2024
Jesper Löfgren,Centre-Back,1997-05-03,"1,94m",right,"Jan 18, 2024","Jun 30, 2024",0.6,FC Luzern,434,26,2023_2024
Mauricio Willimann,Centre-Back,2003-01-16,"1,83m",right,"Jul 1, 2023","Jun 30, 2026",0.3,FC Luzern,434,21,2023_2024
Denis Simani,Centre-Back,1991-10-13,"1,87m",left,"Jan 5, 2022","Jun 30, 2024",0.2,FC Luzern,434,32,2023_2024
Serkan Izmirlioglu,Centre-Back,1998-07-10,"1,84m",right,"Jan 26, 2022","Jun 30, 2024",0.1,FC Luzern,434,25,2023_2024
Martin Frydek,Left-Back,1992-03-24,"1,79m",left,"Oct 12, 2020","Jun 30, 2024",0.4,FC Luzern,434,32,2023_2024
Leny Meyer,Left-Back,2004-07-01,"1,82m",left,"Jul 1, 2022","Jun 30, 2025",0.2,FC Luzern,434,19,2023_2024
Severin Ottiger,Right-Back,2003-04-20,"1,83m",right,"Jul 1, 2021","Jun 30, 2027",1.5,FC Luzern,434,20,2023_2024
Dario Ulrich,Right-Back,1998-03-12,"1,73m",right,"Jul 1, 2023","Jun 30, 2025",0.3,FC Luzern,434,26,2023_2024
Ardon Jashari ,Defensive Midfield,2002-07-30,"1,81m",left,"Jan 27, 2022","Jun 30, 2026",6.0,FC Luzern,434,21,2023_2024
Nicky Beloko,Central Midfield,2000-02-16,"1,84m",right,"Jul 6, 2022","Jun 30, 2025",2.0,FC Luzern,434,24,2023_2024
Nicolas Haas,Central Midfield,1996-01-23,"1,78m",right,"Sep 3, 2023","Jun 30, 2024",0.9,FC Luzern,434,28,2023_2024
Noah Rupp,Central Midfield,2003-08-13,"1,84m",left,"Oct 8, 2021","Jun 30, 2024",0.2,FC Luzern,434,20,2023_2024
Pius Dorn,Right Midfield,1996-09-24,"1,79m",right,"Jul 1, 2022","Jun 30, 2026",1.5,FC Luzern,434,27,2023_2024
Max Meyer,Attacking Midfield,1995-09-18,"1,73m",right,"Aug 24, 2022","Jun 30, 2024",2.0,FC Luzern,434,28,2023_2024
Jakub Kadák,Attacking Midfield,2000-12-14,"1,77m",right,"Jul 19, 2022","Jun 30, 2026",0.9,FC Luzern,434,23,2023_2024
Samuele Campo,Attacking Midfield,1995-07-06,"1,77m",left,"Jul 2, 2021","Jun 30, 2024",0.1,FC Luzern,434,28,2023_2024
Samuel Alabi ,Attacking Midfield,2000-05-06,"1,70m",right,"Sep 24, 2020","Jun 30, 2024",0.1,FC Luzern,434,23,2023_2024
Sofyan Chader ,Left Winger,2000-05-12,"1,78m",right,"Aug 11, 2022","Jun 30, 2025",1.0,FC Luzern,434,23,2023_2024
Kevin Spadanuda ,Left Winger,1997-01-16,"1,77m",right,"Jul 1, 2023","Jun 30, 2026",0.3,FC Luzern,434,27,2023_2024
Luuk Breedijk,Left Winger,2004-02-20,"1,85m",right,"Jan 26, 2023","Jun 30, 2026",0.3,FC Luzern,434,20,2023_2024
Teddy Okou,Right Winger,1998-05-15,"1,66m",left,"Jul 1, 2023","Jun 30, 2026",0.8,FC Luzern,434,25,2023_2024
Lars Villiger,Centre-Forward,2003-04-29,"1,90m",right,"Apr 1, 2023","Jun 30, 2026",1.5,FC Luzern,434,20,2023_2024
Adrian Grbic,Centre-Forward,1996-08-04,"1,88m",left,"Feb 5, 2024","Jun 30, 2024",1.2,FC Luzern,434,27,2023_2024
Thibault Klidjé,Centre-Forward,2001-07-10,"1,70m",right,"Aug 31, 2022","Jun 30, 2026",0.5,FC Luzern,434,22,2023_2024
Kemal Ademi ,Centre-Forward,1996-01-23,"1,97m",right,"Jul 1, 2023","Jun 30, 2025",0.5,FC Luzern,434,28,2023_2024
Lawrence Ati Zigi,Goalkeeper,1996-11-29,"1,88m",right,"Jan 24, 2020","Jun 30, 2025",2.0,FC St. Gallen 1879,257,27,2023_2024
Lukas Watkowiak,Goalkeeper,1996-03-06,"1,97m",right,"Aug 20, 2020","Jun 30, 2025",0.2,FC St. Gallen 1879,257,28,2023_2024
Bela Dumrath,Goalkeeper,2003-11-18,"1,98m",right,"Jul 1, 2022","Jun 30, 2024",0.1,FC St. Gallen 1879,257,20,2023_2024
Albert Vallci,Centre-Back,1995-07-02,"1,91m",right,"Aug 4, 2022","Jun 30, 2025",1.0,FC St. Gallen 1879,257,28,2023_2024
